section,group,id,text
Skit,0,name01,シエラ
Skit,0,text01,<%me>さん！<br>お疲れさまです、シエラです！<br>ショップエリアにいる三人ですが……
Skit,0,text02,今回も、誰かの強い想いにエーテルが<br>反応し具現化した、無害な幻創体です。<br>誰かって言うか、たぶん私ですけど！
Skit,0,text03,年末の書類整理でバタバタしていた時に<br>クリスマスの歌が聞こえ、みんな楽しく<br>過ごすのかなーとか妄想してたんです。
Skit,0,text04,その時整理してたのが、過去の強敵……<br>マザーやエルミル、シバとの戦闘データ<br>だったので、妄想が混ぜこぜに……
Skit,0,text05,と、とにかく、三人の監視も兼ねて<br>引き続き、彼女たちのお願いを聞いて<br>あげてください。お願いします！
Skit,1,name01,Xiera
Skit,1,text01,"Hola, <%me>!<br>¡Soy yo, Xiera!<br>Sobre esos tres en el Shopping Plaza..."
Skit,1,text02,"Una vez más, fantasmas inofensivos<br>se han manifestado a partir del éter que reacciona a<br>los sentimientos de alguien. ¡Lo más probable es que sea mío!"
Skit,1,text03,"¡Si, fue muy divertido!<br>Espera... ¿¡Xiao!?"
Skit,1,text04,Escuche que fuiste una vez mas la causa.<br>Espero ver su informe.<br>Por favor envielo maйana.
Skit,1,text05,"De todos modos, escuche lo que ellos<br>quieren mientras los vigila.<br>¡Cuento contigo!"
