section,group,id,text
common,0,IncidentName,幻創の未確認生物を撃退せよ！
common,0,TrialBeginMsg,制限時間内に全ての未確認生物を撃退せよ！
common,0,TrialAbstract,制限時間内に未確認生物を撃退せよ！
common,1,IncidentName,¡Lucha contra las criaturas fantasma no identificadas!
common,1,TrialBeginMsg,¡Destruye todas las criaturas no identificadas antes de que acabe el tiempo!
common,1,TrialAbstract,¡Destruye a las criaturas no identificadas antes de que acabe el tiempo!
type1,0,NpcComOnBegin,NPC通信（開始時）<br>の<br>テキストです
type1,0,NpcComOnSuccess,NPCセリフ（成功時）<br>の<br>テキストです
type1,0,NpcComOnFailure,NPC通信（失敗時）<br>の<br>テキストです
type1,0,NpcComOnHalf,目標残り半分以下<br>の<br>テキストです
type1,0,NpcComOnLastOne,目標残り1匹<br>の<br>テキストです
type1,1,NpcComOnBegin,Texto de comunicacion de NPC (inicio)
type1,1,NpcComOnSuccess,Texto del dialogo NPC (exito)
type1,1,NpcComOnFailure,Texto de comunicación del NPC (fallo)
type1,1,NpcComOnHalf,Texto objetivo a mitad de camino.
type1,1,NpcComOnLastOne,Texto objetivo para un enemigo restante.
type2,0,NpcComOnBegin,NPC通信（開始時）<br>の<br>テキストです
type2,0,NpcComOnSuccess,NPCセリフ（成功時）<br>の<br>テキストです
type2,0,NpcComOnFailure,NPC通信（失敗時）<br>の<br>テキストです
type2,0,NpcComOnHalf,目標残り半分以下<br>の<br>テキストです
type2,0,NpcComOnLastOne,目標残り1匹<br>の<br>テキストです
type2,1,NpcComOnBegin,Texto de comunicacion de NPC (inicio)
type2,1,NpcComOnSuccess,Texto del dialogo NPC (exito)
type2,1,NpcComOnFailure,Texto de comunicación del NPC (fallo)
type2,1,NpcComOnHalf,Texto objetivo a mitad de camino.
type2,1,NpcComOnLastOne,Texto objetivo para un enemigo restante.
type3,0,NpcComOnBegin,NPC通信（開始時）<br>の<br>テキストです
type3,0,NpcComOnSuccess,NPCセリフ（成功時）<br>の<br>テキストです
type3,0,NpcComOnFailure,NPC通信（失敗時）<br>の<br>テキストです
type3,0,NpcComOnHalf,目標残り半分以下<br>の<br>テキストです
type3,0,NpcComOnLastOne,目標残り1匹<br>の<br>テキストです
type3,1,NpcComOnBegin,Texto de comunicacion de NPC (inicio)
type3,1,NpcComOnSuccess,Texto del dialogo NPC (exito)
type3,1,NpcComOnFailure,Texto de comunicación del NPC (fallo)
type3,1,NpcComOnHalf,Texto objetivo a mitad de camino.
type3,1,NpcComOnLastOne,Texto objetivo para un enemigo restante.
type6,0,NpcComOnBegin,NPC通信（開始時）<br>の<br>テキストです
type6,0,NpcComOnSuccess,NPCセリフ（成功時）<br>の<br>テキストです
type6,0,NpcComOnFailure,NPC通信（失敗時）<br>の<br>テキストです
type6,0,NpcComOnHalf,目標残り半分以下<br>の<br>テキストです
type6,0,NpcComOnLastOne,目標残り1匹<br>の<br>テキストです
type6,1,NpcComOnBegin,Texto de comunicacion de NPC (inicio)
type6,1,NpcComOnSuccess,Texto del dialogo NPC (exito)
type6,1,NpcComOnFailure,Texto de comunicación del NPC (fallo)
type6,1,NpcComOnHalf,Texto objetivo a mitad de camino.
type6,1,NpcComOnLastOne,Texto objetivo para un enemigo restante.
type9,0,NpcComOnBegin,地球上のデータでも未確認の<br>謎の生物が空中を飛び回っています！<br>混乱を避けるため、この場で撃退を！
type9,0,NpcComOnBeginNext,あの生物、移動中はエーテルを変質させ<br>こちらの攻撃を無効化しています！<br>動きを止めている間に攻撃を！
type9,0,NpcComOnSuccess,謎の生物、反応消失！　エーテル拡散！<br>みなさん、お疲れさまでした！<br>……あれ、何の生物だったんでしょう？
type9,0,NpcComOnFailure,逃げられてしまいましたね……<br>これ以上の追跡は難しいですので<br>通常任務に戻りましょう。
type9,0,NpcComOnHalf,目標、残り半数です！<br>残さず撃退しちゃいましょう！
type9,0,NpcComOnLastOne,目標、残りあとひとつ！<br>……って、なんだか動きに変化が。<br>注意してください！
type9,1,NpcComOnBegin,en datos de la Tierra!<br>¡Sácalos aquí y ahora antes de que<br>se salga de control!
type9,1,NpcComOnBeginNext,"¡Esas criaturas cambian a éter mientras<br>se mueve, haciendo que nuestros ataques sean inútiles!<br>¡Golpéalos mientras están quietos!"
type9,1,NpcComOnSuccess,¡Las extrañas criaturas desaparecieron y los<br>éteres se difundieron! ¡Bien hecho a todos! <br>...¿Qué especie eran?
type9,1,NpcComOnFailure,"Se las arreglaron para escapar...<br>Es muy difícil perseguirlos más, así que<br>vuelve a tus tareas normales."
type9,1,NpcComOnHalf,¡Has derrotado a la mitad de ellos!<br>¡Destruye hasta el último!
type9,1,NpcComOnLastOne,¡Solo queda uno! Pero esta mostrando un comportamiento extraйo... ¡Cuidado!
