section,group,id,text
common,0,Begin,開始5150
common,0,Success,成功5150
common,0,Failure,失敗5150
common,0,Dead,自分死亡5150
common,0,BuddyDead,相手死亡5150
common,0,Evolution,発展5150
common,1,Begin,Empezar5150
common,1,Success,Exito5150
common,1,Failure,Fracaso5150
common,1,Dead,/ci1 2 Yahoo! ¡Feliz navidad! ¡Este es nuestro aйo! ¡Vamos a agarrar a Santa y agarrar esos regalos!
common,1,BuddyDead,SocioMurio5150
common,1,Evolution,Evolucion5150
5515,0,Begin,/ci2 4 /mn15 ふはははっ！<br>夏と言ったら、オレ参上！<br>ガンガン行くぞー！
5515,0,Success,/ci2 4 /mn15 よーし、よくやった！<br>困ったらなんでも相談してくれ！
5515,0,Failure,/mn1 調子に乗りすぎてしまったか……！<br>無念！
5515,0,Dead,/mn4 張り切りすぎてしまったか……！<br>すまん、後は頼んだ……！
5515,0,BuddyDead,/mn22 おおストラトス、暑さでやられたか？<br>あとは任せてお
5515,1,Begin,"/ci2 4 /mn15 ¡Mwa-ha-haa! Si dices ""verano"", ¡entonces estoy ahi! <br>¡VAMOS DE FIESTA!"
5515,1,Success,"/ci2 4 /mn15 ¡Sí! ¡Lo hicimos genial! Si alguna vez necesitas algo,<br>háznoslo saber y estaremos ahí para ayudarte."
5515,1,Failure,"/mn5 ¿Que...? Lo siento, parece que tus esfuerzos ||TAG_0||fueron en vano..."
5515,1,Dead,/mn4 ¿¡Supongo que entonces nos dejamos llevar demasiado!? Lo siento <br>... ¡el resto depende de ti!
5515,1,BuddyDead,"/mn22 Oh Stratos, ¿te venció el calor? ¡Déjanos<br>el resto a nosotros!"
