section,group,id,text
SelectWindow,0,text00,バスタークエストについて
SelectWindow,0,text10,フェイズについて
SelectWindow,0,text20,シエラの支援について
SelectWindow,0,text30,魔神兵器と魔神城の攻撃について
SelectWindow,0,text40,アークス兵器について
SelectWindow,0,text50,兵器セットの選択について
SelectWindow,0,text100,戻る
SelectWindow,1,text00,Misiones destructoras
SelectWindow,1,text10,Fases
SelectWindow,1,text20,El apoyo de Xiera
SelectWindow,1,text30,Armas demoníacas y Castrum Demonica
SelectWindow,1,text40,Armas ARCAS
SelectWindow,1,text50,Seleccionar un conjunto de armas
SelectWindow,1,text100,Atrás
tut01,0,Title,バスタークエストについて
tut01,0,text01,0ffff>バスターフェイズ<c>を<br>交互に繰り返し進行していきます。<br><br>２つのフェイズの間には<br>準備を行なう<c 00ffff>クールタイム<c>が発生するため<br>万全の状態で戦闘に臨みましょう。
tut01,0,text02,自軍と敵軍の戦況は<c 00ffff>戦力ゲージ<c>として確認でき<br><yellow>魔神城を破壊<c>するか、制限時間終了時に<br><yellow>敵軍より戦力が上回る<c>と勝利となります。<br><br>戦力ゲージは以下の条件で減少します。<br><c 00ffff>◇自軍<c><br>・破界塔へのダメージ<br><br><c 00ffff>◇敵軍<c><br>・魔神結界の破壊<br>・魔神城へのダメージ
tut01,0,text03,プレイヤーが戦闘不能となった場合<br>一定時間経過することで<br><yellow>復帰地点から自動的に復活<c>します。<br><br>その他にもムーンアトマイザーによる<br>復活が可能です。
tut01,0,text04,クエスト中、戦闘支援に活用する<br><c 00ffff>マナ<c>がフィールド全体に出現します。<br><br>マナは一定数集めるごとに<br>以下の効果が自動で発生します。<br><br>・魔神結界を破壊するために必要な<br>　破界鎚の出現数が増加（最大４機まで出現）<br>・破界塔の耐久値回復
tut01,0,text05,かっていきます。<br><br><c ff4f3f>召喚した全ての破界鎚が魔神結界に当たるか、<br>破壊されて全てなくなると、<br>バスターフェイズが終了します。<c>
tut01,0,text06,<br><yellow>※クエストクリア時の報酬は<br>所持しているバスターポイントに応じて<br>レアドロップ倍率が上昇します。<c><br><br>協力して魔神城の破壊にあたってください。
tut01,1,Title,Misiones destructoras
tut01,1,text01,"En esta misión, tu objetivo es defender las <c 00ffff>Buster Towers<c> y destruir las<br>Castrum Demonica. Alterna entre <c 00ffff>Fases de Defensa<c> en las que<br>debe defender las Buster Towers de los enemigos, y <c 00ffff>Buster Phases<c> en las que<br>atacas las líneas enemigas.<br><br>Entre cada conjunto de fases hay un <c 00ffff>Tiempo de recuperación<c> en el que puedes hacer<br>preparativos para empezar a trabajar."
