section,group,id,text
Skit01,0,11_voice_NPC_5599_100,お、見かけない顔だな。<br>俺は、§イチカ§だ！<br>よろしく頼むぜ。
Skit01,0,text01002a,お前を巻き込むかも知れないが<br>……隣にいる、みたらしに<br>話しかけてもらえるか？
Skit01,1,11_voice_NPC_5599_100,"Oh, no te había visto antes. ¡Soy § Ichika §! Encantado de conocerte."
Skit01,1,text01002a,"Me siento mal por tenerte involucrado en esto, pero ¿podrías hablar con Mitarashi, que está a mi lado?"
Skit02,0,text02001,……
Skit02,0,text02002,あ、チカちゃんの中の人なら<br>呼ばれたとかでいま離席中だよー。<br>おつかいでも頼まれたんかな？
Skit02,1,text02001,
Skit02,1,text02002,"Oh, el jugador que controla a Ichika fue llamado en alguna parte o algo así y está AFK. ¿Tal vez tuvieron que hacer un recado?"
Skit03,0,11_voice_NPC_5599_100,オーダーを出す側ってのも<br>なかなか面白いもんだな。
Skit03,0,text03002,よろしく頼んだぞ！
Skit03,1,11_voice_NPC_5599_100,Es bastante interesante ser el que da órdenes para variar.
Skit03,1,text03002,¡Cuento contigo!
Skit04,0,11_voice_NPC_5599_104,そう言えば最近<br>微妙に集まりが悪いんだよ……
Skit04,0,text04002,まあ、俺もそうだし<br>テトラも色々あるみたいだし<br>仕方ないっちゃ仕方ないよな。
Skit04,0,text04003,みたらしはいっつも暇そうで<br>ずっとログインしてるみたいだけどな！
Skit04,1,11_voice_NPC_5599_104,"Ahora que lo pienso, últimamente ha sido un poco difícil agruparse."
Skit04,1,text04002,"Quiero decir, estoy bastante ocupado y Tetra también, así que no hay nada que podamos hacer al respecto."
Skit04,1,text04003,"Sin embargo, Mitarashi tiene todo el tiempo del mundo. ¡Está constantemente conectada!"
Skit05,0,11_voice_NPC_5599_100,よーし、お前らいくぞー！<br>俺の新たな真の力……<br>《亡霊》の能力を、見せてやるぜ！
Skit05,1,11_voice_NPC_5599_100,"¡Muy bien, vamos todos! Te mostraré mi nuevo poder... ¡el poder de un Fantasma!"
Skit06,0,text06001,おつかれー。<br>色々振り回しちゃって<br>ごめんなー。
Skit06,0,11_voice_NPC_5599_101,でも、楽しかったよな？<br>俺も楽しかったぞ！
Skit06,0,text06003,また誘ってくれよな！<br>一緒にクエスト行こうぜ！
Skit06,1,text06001,Buen trabajo. Perdón por hacerte pasar por todo eso.
Skit06,1,11_voice_NPC_5599_101,"Pero fue divertido, ¿verdad? ¡Me divertí!"
Skit06,1,text06003,¡Vuelve a visitarnos alguna vez! Luego podremos formar equipo para algunas misiones más.
