section,group,id,text
BubbleMessage,0,Q0,用があるなら手短に頼む
BubbleMessage,0,HELLO,用があるなら手短に頼む
BubbleMessage,0,HELLO_FAV4,待っていたぞ！<br>あ……え、いや……
BubbleMessage,0,HELLO_FAV3,ふっ、良く会うな
BubbleMessage,0,HELLO_FAV2,用があるなら手短に頼む
BubbleMessage,0,HELLO_FAV1,取り込み中だ
BubbleMessage,0,HELLO_FAV0,貴様に用はない
BubbleMessage,0,GOODBYE,また会おう
BubbleMessage,0,GOODBYE_FAV4,別れは名残惜しいものだな……
BubbleMessage,0,GOODBYE_FAV3,時が経つのは早いな
BubbleMessage,0,GOODBYE_FAV2,また会おう
BubbleMessage,0,GOODBYE_FAV1,失礼する
BubbleMessage,0,GOODBYE_FAV0,無駄な時間だった……
BubbleMessage,1,Q0,¿Que pasa?
BubbleMessage,1,HELLO,¿Que pasa?
BubbleMessage,1,HELLO_FAV4,¡Hola!
BubbleMessage,1,HELLO_FAV3,¡Hola!
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Opcion 1
Choices,1,00_02,Opcion 2
Choices,1,TALK_ST,hablar
Choices,1,C_ORDER_ST,Escuchar
