section,group,id,text
BubbleMessage,0,Q0,いらっしゃいませ
BubbleMessage,0,HELLO,いらっしゃいませ
BubbleMessage,0,HELLO_FAV4,いらっしゃいませ
BubbleMessage,0,HELLO_FAV3,いらっしゃいませ
BubbleMessage,0,HELLO_FAV2,いらっしゃいませ
BubbleMessage,0,HELLO_FAV1,いらっしゃいませ
BubbleMessage,0,HELLO_FAV0,いらっしゃいませ
BubbleMessage,0,GOODBYE,またのお越しを
BubbleMessage,0,GOODBYE_FAV4,またのお越しを
BubbleMessage,0,GOODBYE_FAV3,またのお越しを
BubbleMessage,0,GOODBYE_FAV2,またのお越しを
BubbleMessage,0,GOODBYE_FAV1,またのお越しを
BubbleMessage,0,GOODBYE_FAV0,またのお越しを
BubbleMessage,1,Q0,Bienvenido.
BubbleMessage,1,HELLO,Bienvenido.
BubbleMessage,1,HELLO_FAV4,Bienvenido.
BubbleMessage,1,HELLO_FAV3,Bienvenido.
BubbleMessage,1,HELLO_FAV2,Bienvenido.
BubbleMessage,1,HELLO_FAV1,Bienvenido.
BubbleMessage,1,HELLO_FAV0,Bienvenido.
BubbleMessage,1,GOODBYE,Vuelve a visitarnos algun dia.
BubbleMessage,1,GOODBYE_FAV4,Vuelve a visitarnos algun dia.
BubbleMessage,1,GOODBYE_FAV3,Vuelve a visitarnos algun dia.
BubbleMessage,1,GOODBYE_FAV2,Vuelve a visitarnos algun dia.
BubbleMessage,1,GOODBYE_FAV1,Vuelve a visitarnos algun dia.
BubbleMessage,1,GOODBYE_FAV0,Vuelve a visitarnos algun dia.
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Opcion 1
Choices,1,00_02,Opcion 2
Choices,1,TALK_ST,hablar
Choices,1,C_ORDER_ST,Escuchar
