section,group,id,text
Name,0,NAME,ビア
Name,0,NICKNAME,スキルカウンター係員
Name,1,NAME,Bia
Name,1,NICKNAME,Empleado de contador de habilidades
BubbleMessage,0,HELLO,こちらではクラスに関わる<br>処理が行えます
BubbleMessage,0,HELLO_FAV4,こちらではクラスに関わる<br>処理が行えます
BubbleMessage,0,HELLO_FAV3,こちらではクラスに関わる<br>処理が行えます
BubbleMessage,0,HELLO_FAV2,こちらではクラスに関わる<br>処理が行えます
BubbleMessage,0,HELLO_FAV1,こちらではクラスに関わる<br>処理が行えます
BubbleMessage,0,HELLO_FAV0,こちらではクラスに関わる<br>処理が行えます
BubbleMessage,0,Q0,こちらではクラスに関わる<br>処理が行えます
BubbleMessage,0,GOODBYE,また、いつでもどうぞ
BubbleMessage,0,GOODBYE_FAV4,また、いつでもどうぞ
BubbleMessage,0,GOODBYE_FAV3,また、いつでもどうぞ
BubbleMessage,0,GOODBYE_FAV2,また、いつでもどうぞ
BubbleMessage,0,GOODBYE_FAV1,また、いつでもどうぞ
BubbleMessage,0,GOODBYE_FAV0,また、いつでもどうぞ
BubbleMessage,1,HELLO,Aqui gestionamos negocios relacionados con la clase.
BubbleMessage,1,HELLO_FAV4,Aqui gestionamos negocios relacionados con la clase.
BubbleMessage,1,HELLO_FAV3,Aqui gestionamos negocios relacionados con la clase.
BubbleMessage,1,HELLO_FAV2,Aqui gestionamos negocios relacionados con la clase.
BubbleMessage,1,HELLO_FAV1,Aqui gestionamos negocios relacionados con la clase.
BubbleMessage,1,HELLO_FAV0,Aqui gestionamos negocios relacionados con la clase.
BubbleMessage,1,Q0,Aqui gestionamos negocios relacionados con la clase.
BubbleMessage,1,GOODBYE,No dudes en pasar por aqui en cualquier momento.
BubbleMessage,1,GOODBYE_FAV4,No dudes en pasar por aqui en cualquier momento.
BubbleMessage,1,GOODBYE_FAV3,No dudes en pasar por aqui en cualquier momento.
BubbleMessage,1,GOODBYE_FAV2,No dudes en pasar por aqui en cualquier momento.
BubbleMessage,1,GOODBYE_FAV1,No dudes en pasar por aqui en cualquier momento.
BubbleMessage,1,GOODBYE_FAV0,No dudes en pasar por aqui en cualquier momento.
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Opcion 1
Choices,1,00_02,Opcion 2
Choices,1,TALK_ST,Hablar
Choices,1,C_ORDER_ST,Escuchar
