section,group,id,text
BubbleMessage,0,HELLO,りり！
BubbleMessage,0,HELLO_FAV4,りり！
BubbleMessage,0,HELLO_FAV3,りり！
BubbleMessage,0,HELLO_FAV2,りり！
BubbleMessage,0,HELLO_FAV1,りり！
BubbleMessage,0,HELLO_FAV0,りり！
BubbleMessage,0,Q0,りり！
BubbleMessage,0,GOODBYE,りり！
BubbleMessage,0,GOODBYE_FAV4,りり！
BubbleMessage,0,GOODBYE_FAV3,りり！
BubbleMessage,0,GOODBYE_FAV2,りり！
BubbleMessage,0,GOODBYE_FAV1,りり！
BubbleMessage,0,GOODBYE_FAV0,りり！
BubbleMessage,1,HELLO,¡Li-li!
BubbleMessage,1,HELLO_FAV4,¡Li-li!
BubbleMessage,1,HELLO_FAV3,¡Li-li!
BubbleMessage,1,HELLO_FAV2,¡Li-li!
BubbleMessage,1,HELLO_FAV1,¡Li-li!
BubbleMessage,1,HELLO_FAV0,¡Li-li!
BubbleMessage,1,Q0,¡Li-li!
BubbleMessage,1,GOODBYE,¡Li-li!
BubbleMessage,1,GOODBYE_FAV4,¡Li-li!
BubbleMessage,1,GOODBYE_FAV3,¡Li-li!
BubbleMessage,1,GOODBYE_FAV2,¡Li-li!
BubbleMessage,1,GOODBYE_FAV1,¡Li-li!
BubbleMessage,1,GOODBYE_FAV0,¡Li-li!
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Opcion 1
Choices,1,00_02,Opcion 2
Choices,1,TALK_ST,hablar
Choices,1,C_ORDER_ST,Escuchar
