section,group,id,text
BubbleMessage,0,Q0,ハーッハッハー、よく来たな！
BubbleMessage,0,HELLO,ハーッハッハー、よく来たな！
BubbleMessage,0,HELLO_FAV4,ハーッハッハー、よく来たな！
BubbleMessage,0,HELLO_FAV3,ハーッハッハー、よく来たな！
BubbleMessage,0,HELLO_FAV2,ハーッハッハー、よく来たな！
BubbleMessage,0,HELLO_FAV1,ハーッハッハー、よく来たな！
BubbleMessage,0,HELLO_FAV0,ハーッハッハー、よく来たな！
BubbleMessage,0,GOODBYE,さらばだっ！
BubbleMessage,0,GOODBYE_FAV4,さらばだっ！
BubbleMessage,0,GOODBYE_FAV3,さらばだっ！
BubbleMessage,0,GOODBYE_FAV2,さらばだっ！
BubbleMessage,0,GOODBYE_FAV1,さらばだっ！
BubbleMessage,0,GOODBYE_FAV0,さらばだっ！
BubbleMessage,1,Q0,"Ha ha ha, que bien que estes aqui!"
BubbleMessage,1,HELLO,"Ha ha ha, que bien que estes aqui!"
BubbleMessage,1,HELLO_FAV4,"Ha ha ha, que bien que estes aqui!"
BubbleMessage,1,HELLO_FAV3,"Ha ha ha, que bien que estes aqui!"
BubbleMessage,1,HELLO_FAV2,"Ha ha ha, que bien que estes aqui!"
BubbleMessage,1,HELLO_FAV1,"Ha ha ha, que bien que estes aqui!"
BubbleMessage,1,HELLO_FAV0,"Ha ha ha, que bien que estes aqui!"
BubbleMessage,1,GOODBYE,Adios
BubbleMessage,1,GOODBYE_FAV4,Adios
BubbleMessage,1,GOODBYE_FAV3,Adios
BubbleMessage,1,GOODBYE_FAV2,Adios
BubbleMessage,1,GOODBYE_FAV1,Adios
BubbleMessage,1,GOODBYE_FAV0,Adios
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Opcion 1
Choices,1,00_02,Opcion 2
Choices,1,TALK_ST,Charlar
Choices,1,C_ORDER_ST,Escuchar
