section,group,id,text
BubbleMessage,0,Q0,おかえりなさい。どれにする？
BubbleMessage,0,HELLO,おかえりなさい。どれにする？
BubbleMessage,0,HELLO_FAV4,おかえりなさい。どれにする？
BubbleMessage,0,HELLO_FAV3,おかえりなさい。どれにする？
BubbleMessage,0,HELLO_FAV2,おかえりなさい。どれにする？
BubbleMessage,0,HELLO_FAV1,おかえりなさい。どれにする？
BubbleMessage,0,HELLO_FAV0,おかえりなさい。どれにする？
BubbleMessage,0,TALK_BYE_QUEST,ケガしないでね。がんばって！
BubbleMessage,0,GOODBYE,じゃあね
BubbleMessage,0,GOODBYE_FAV4,じゃあね
BubbleMessage,0,GOODBYE_FAV3,じゃあね
BubbleMessage,0,GOODBYE_FAV2,じゃあね
BubbleMessage,0,GOODBYE_FAV1,じゃあね
BubbleMessage,0,GOODBYE_FAV0,じゃあね
BubbleMessage,1,Q0,Bienvenido. ¿Que deseas hacer?
BubbleMessage,1,HELLO,Bienvenido. ¿Que deseas hacer?
BubbleMessage,1,HELLO_FAV4,Bienvenido. ¿Que deseas hacer?
BubbleMessage,1,HELLO_FAV3,Bienvenido. ¿Que deseas hacer?
BubbleMessage,1,HELLO_FAV2,Bienvenido. ¿Que deseas hacer?
BubbleMessage,1,HELLO_FAV1,Bienvenido. ¿Que deseas hacer?
BubbleMessage,1,HELLO_FAV0,Bienvenido. ¿Que deseas hacer?
BubbleMessage,1,TALK_BYE_QUEST,Buena suerte! ¡No te lastimes!
BubbleMessage,1,GOODBYE,Adios por ahora
BubbleMessage,1,GOODBYE_FAV4,Adios por ahora
BubbleMessage,1,GOODBYE_FAV3,Adios por ahora
BubbleMessage,1,GOODBYE_FAV2,Adios por ahora
BubbleMessage,1,GOODBYE_FAV1,Adios por ahora
BubbleMessage,1,GOODBYE_FAV0,Adios por ahora
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Opcion 1
Choices,1,00_02,Opcion 2
Choices,1,TALK_ST,Habla
Choices,1,C_ORDER_ST,Escuchar
