section,group,id,text
Event1,0,text01,おつかれさま！<br><%me>！
Event1,0,text02,え？　びっくりした？<br>なんだ、やっぱりアンタ<br>へっぽこぴーって呼んでほしかったの？
Event1,0,11_voice_NPC_5056_100,フフフ！　そうもいかないね。<br>アンタすっかり一人前だし。
Event1,0,text04,ね！　アークスの<br><%me>さん！
Event1,0,text05,これからもよろしく！<br>
Event1,1,text01,"¡Oye, buen trabajo,<br><%me>!"
Event1,1,text02,¿Qué pasa con la mirada de ojos de cristal? ¿Preferirías<br>que te llamara payaso después de todo?
Event1,1,11_voice_NPC_5056_100,"Je, no lo creo.<br>Tu hora de payaso ha pasado.<br>Ahora eres un agente de ARKS de pleno derecho."
Event1,1,text04,"¡Ya me escuchaste, agente de ARKS<br><%me>!"
Event1,1,text05,¡Hazme sentir orgulloso por ahí!
