section,group,id,text
Basic,0,Title,ヒーローの基礎
Basic,0,Explanation,の使用<br>課題６：タリスのＰＡを組み合わせての使用<br>課題７：タリスの武器アクションで高速移動<br>課題８：ヒーローギアをためる<br>課題９：ヒーロータイムフィニッシュの使用<br>課題１０：実戦訓練
Basic,1,Title,Conceptos básicos del héroe
Basic,1,Explanation,Ejercicio 1: uso del ataque variante de Sword<br>Ejercicio 2: uso del rayo espiritual de Sword<br>Ejercicio 3: uso de las ametralladoras gemelas<br>Ejercicio 4: recarga de las ametralladoras gemelas<br>Ejercicio 5: uso del ataque normal y los PA de Talis<br>Ejercicio 6: uso de Talis combinado con Photon Arts<br>Ejercicio 7: Moverse a gran velocidad usando un Talis<br>Ejercicio 8: acumulación de concentración en el héroe<br>Ejercicio 9: uso de un finalizador de tiempo de héroe<br>Ejercicio 10: Entrenamiento práctico de combate
QuestTarget,0,SimpleExplanation,１０の課題を達成せよ！
QuestTarget,1,SimpleExplanation,¡Completa los 10 ejercicios!
Training,0,Training1,派生攻撃をエネミーに当てる
Training,0,Training2,気弾をエネミーに当てる
Training,0,Training2_1,チャージ気弾をエネミーに当てる
Training,0,Training3,通常攻撃でエネミーを殲滅
Training,0,Training4,リロードを2秒間成功させる
Training,0,Training4_1,ジャストリロードを2秒間成功させる
Training,0,Training5,通常攻撃３段目をエネミーに当てる
Training,0,Training5_1,ジェットホイールを当てる
Training,0,Training6,タリスの派生アクションを発動する
Training,0,Training7,高速移動を3回行う
Training,0,Training8,ヒーローギアをためる
Training,0,Training9,ヒーロータイムフィニッシュを発動する
Training,0,Training10,エネミーを殲滅する
Training,0,Retry_1,課題１
Training,0,Retry_2,課題２
Training,0,Retry_3,課題３
Training,0,Retry_4,課題４
Training,0,Retry_5,課題５
Training,0,Retry_6,課題６
Training,0,Retry_7,課題７
Training,0,Retry_8,課題８
Training,0,Retry_9,課題９
Training,0,Retry_10,課題１０
Training,1,Training1,Golpea al enemigo con un ataque variante.
Training,1,Training2,Golpea al enemigo con un Spirit Bolt.
Training,1,Training2_1,Golpea al enemigo con un Spirit Bolt cargado.
Training,1,Training3,Elimina al enemigo usando ataques normales.
Training,1,Training4,Realiza una recarga en dos segundos.
Training,1,Training4_1,Realiza una recarga perfecta en dos segundos.
Training,1,Training5,Golpea al enemigo con el tercer paso de un ataque normal.
Training,1,Training5_1,Golpea la rueda Jet.
Training,1,Training6,Realiza una acción variante con los Talis.
Training,1,Training7,Realice un movimiento de alta velocidad tres veces.
Training,1,Training8,Acumula concentración de héroe.
Training,1,Training9,Realiza un finalizador de tiempo de héroe.
Training,1,Training10,Erradicar a los enemigos.
Training,1,Retry_1,Ejercicio 1
Training,1,Retry_2,Ejercicio 2
Training,1,Retry_3,Ejercicio 3
Training,1,Retry_4,Ejercicio 4
Training,1,Retry_5,Ejercicio 5
Training,1,Retry_6,Ejercicio 6
Training,1,Retry_7,Ejercicio 7
Training,1,Retry_8,Ejercicio 8
Training,1,Retry_9,Ejercicio 9
Training,1,Retry_10,Ejercicio 10
