section,group,id,text
ra_012000,0,ra_012000_0010,ふ……ふはは……ふはははっ！<br>この我を押し返したか……！
ra_012000,0,ra_012000_0020,かの惑星で我を押しとどめた者。<br>そして、今……
ra_012000,0,ra_012000_0030,くふふっ、ふははははっ！<br>いいぞ……楽しいぞアークス！<br>それでこそ、戻ってきた甲斐がある！
ra_012000,0,ra_012000_0040,ようやく戻ってきたと思ったら<br>いきなりやられちゃった上に<br>さらにそれで大喜び？
ra_012000,0,ra_012000_0050,四十年間眠ってた間に<br>どこかおかしくなっちゃった？
ra_012000,0,ra_012000_0060,……誰だ、貴様は。
ra_012000,0,ra_012000_0070,いや、この感じには覚えがある。
ra_012000,0,ra_012000_0080,そうか、貴様、【若人】か。<br>その姿は、新しい容れ物だな。
ra_012000,0,ra_012000_0090,そういうこと。<br>もっとも、新しいって言っても<br>十年は経ってるけどね。
ra_012000,0,ra_012000_0100,そちらの気に喰わん二人組は<br>……【双子】だな。
ra_012000,0,ra_012000_0110,はっ、くははっ！<br>揃いも揃って我を出迎えとは<br>感謝感激痛み入る！
ra_012000,0,ra_012000_0120,……だが、ソイツは誰だ。
ra_012000,0,ra_012000_0130,新参の子。<br>とりあえずあたしは<br>【仮面】って呼んでるけど？
ra_012000,0,ra_012000_0140,まったく。【若人】のあたしが<br>言うのもなんだけど、最近の若い子の<br>考えてることはわからないわね。
ra_012000,0,ra_012000_0150,くふふっ、奴が何であれ<br>我を楽しませてくれるのなら<br>一向に構わん。
ra_012000,0,ra_012000_0160,なにその気持ち悪い笑い方。<br>あんた、ずいぶん変わっちゃったね。
ra_012000,0,ra_012000_0170,それこそ貴様には言われたくないな。
ra_012000,0,ra_012000_0180,アークス……<br>諸兄らの健闘を称え<br>今回は退いてやろう。
ra_012000,0,ra_012000_0190,自在に動くこの身があれば<br>いついかなる時であっても<br>闘争は可能……くふっ、くふふっ。
ra_012000,0,ra_012000_0200,長く永く楽しませてもらうぞ。<br>せいぜい足掻け、アークスよ。
ra_012000,0,ra_012000_0210,A.P.238/4/1
ra_012000,1,ra_012000_0010,¡Hwa...hwahahahahah! ¡Bien hecho!<br>Has logrado resistir mi<br>¡Potencia más larga de lo esperado!
ra_012000,1,ra_012000_0020,"Y tú, el que me guardaste<br>contenida en ese planeta! Ahora..."
ra_012000,1,ra_012000_0030,Mwahahaha! ¡Esto es genial!<br>¡Nunca me había divertido tanto!<br>¡Esto es lo que hace que valga la pena vivir la vida!
ra_012000,1,ra_012000_0040,Te acaban de traer de regreso y estabas<br>inmediatamente golpeado. Y eso...<br>te hace feliz...?
ra_012000,1,ra_012000_0050,¿Se te pudrió el cerebro mientras<br>¿Estuviste dormido durante 40 años?
ra_012000,1,ra_012000_0060,¿Quién diablos eres tú?
ra_012000,1,ra_012000_0070,"Espera, tu presencia se siente... familiar."
ra_012000,1,ra_012000_0080,"Ah, eres tú. Aprendiz del Vernal.<br>Veo que has conseguido un nuevo barco."
ra_012000,1,ra_012000_0090,"En efecto. Sin embargo, aunque puede que sea nuevo para ti,<br>Lo he estado usando durante una década."
ra_012000,1,ra_012000_0100,Así que supongo que el extraño par<br>contigo debe estar... Géminis el Duplicado.
ra_012000,1,ra_012000_0110,"Mwahaha! I see you've all come to greet me<br>a mi regreso. Tienes mi agradecimiento,<br>mi aprecio y mi gratitud."
ra_012000,1,ra_012000_0120,Pero... ¿quién diablos es ESE?
ra_012000,1,ra_012000_0130,¿El neófito? me he estado refiriendo<br>para él como Persona el Enmascarado.
ra_012000,1,ra_012000_0140,"Como el más joven del colectivo, me siento raro.<br>diciendo esto. Pero no entiendo lo que los jóvenes<br>estás pensando estos días."
ra_012000,1,ra_012000_0150,"Mwahahaha. No me importa qué sea esa cosa,<br>siempre y cuando pueda divertirme."
ra_012000,1,ra_012000_0160,"¿Qué pasa con esa risa espeluznante?<br>Ciertamente has cambiado desde el<br>last time we met, haven't you?"
ra_012000,1,ra_012000_0170,Eres alguien para hablar.
ra_012000,1,ra_012000_0180,ARKS... aplaudo tus esfuerzos en nuestra lucha.<br>Y retírate por ahora.
ra_012000,1,ra_012000_0190,"Con mi nueva embarcación, soy libre de<br>hacer la guerra cuando me plazca. Mwahahaha!"
ra_012000,1,ra_012000_0200,No creas que me apresuraré a terminar las cosas contigo.<br>Es demasiado placentero mirarte<br>Los agentes se retuercen.
ra_012000,1,ra_012000_0210,A.P.238/4/1
