section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,¿?
CharaName,1,name02,¿?
st_037160,0,st_037160_0001,A.P.239/3/31/15:00
st_037160,0,st_037160_0010,……ああいうの、ずるいよね。
st_037160,0,st_037160_0020,ありがとうも言えなかった。<br>さよならだって、言えなかった。<br>……ほんっとうに、ずるい。
st_037160,0,st_037160_0030,……でも、笑えって言われちゃったし<br>わたし、笑ってることにする。
st_037160,0,st_037160_0040,泣いてもいいってなるまでは<br>笑うことにする。
st_037160,0,st_037160_0050,だってそうでしょ。<br>【深遠なる闇】が出てくるって<br>言ってたもんね。
st_037160,0,st_037160_0060,わたしたちのせいで<br>出てきちゃったようなものだし……<br>わたしたちが、倒さないと！
st_037160,0,st_037160_0070,それにダークファルスも来るだろうし<br>ダーカーもなんとかしないとだし……
st_037160,0,st_037160_0080,ああ、いろいろやることたくさん！<br>泣いてる暇なんてないね！
st_037160,0,st_037160_0090,ね、<%me>。
st_037160,0,st_037160_0100,あ、あれ？　おかしいな？<br>わたし、笑ってるはずなのに……<br>お、おかしいな、この、このっ！
st_037160,0,st_037160_0110,無理しなくていいよ
st_037160,0,st_037160_0120,泣きたかったら、泣くべきだ
st_037160,0,st_037160_0130,……<%me>。<br>このタイミングで<br>それはダメだよ、反則だよ……
st_037160,0,st_037160_0140,ごめん……ちょっとごめん……<br>約束……守れそうに、ない。
st_037160,0,st_037160_0150,おかえり、マトイ
st_037160,0,st_037160_0160,……ただいま！<br><%me>！
st_037160,1,st_037160_0001,A.P.239/3/31/15:00
st_037160,1,st_037160_0010,"Ahora bien, eso simplemente no era justo."
st_037160,1,st_037160_0020,Partiendo antes de que tuviéramos la oportunidad de<br>agradecerles o decir adiós...<br>¿Cómo podrían?
st_037160,1,st_037160_0030,"Pero me dijeron que sonriera, así que por ahora... lo intentaré."
st_037160,1,st_037160_0040,Mantendré esta sonrisa hasta que esté bien llorar.
st_037160,1,st_037160_0050,"Después de todo, decían que la Oscuridad Profunda<br>would come back."
st_037160,1,st_037160_0060,"Y como es esencialmente culpa nuestra, ha sido<br>revividos, deberíamos ser nosotros quienes<br>¡destrúyelo!"
st_037160,1,st_037160_0070,Supongo que los Dark Falz también están en camino.<br>y todavía tenemos que hacer algo al respecto<br>Falspawn...
st_037160,1,st_037160_0080,"¡Aah, nuestros platos están totalmente llenos! quien tiene tiempo<br>¿Estar ahí parado llorando?"
st_037160,1,st_037160_0090,¿Bien? ¡No hay tiempo que perder!
st_037160,1,st_037160_0100,E-espera. Eso es tan extraño... Realmente estoy tratando de<br>sonrisa. Esto no debería ser... ¡Para! ¡Basta!
st_037160,1,st_037160_0110,No tienes que esforzarte.
st_037160,1,st_037160_0120,Deberías llorar si quieres.
st_037160,1,st_037160_0130,Vamos. ¿Cómo puedes decirme eso?<br>¿ahora? Ahora eres tú quien no juega limpio.
st_037160,1,st_037160_0140,Lo siento... lo siento mucho...<br>No creo que pueda cumplir mi promesa.
st_037160,1,st_037160_0150,"Welcome back, Matoi."
st_037160,1,st_037160_0160,Te extrañé.
