section,group,id,text
AccountLinkage,0,PrePublishTitle,アカウント連携コード発行確認
AccountLinkage,0,PrePublishTitleAmazon,Amazonアカウント連携
AccountLinkage,0,PrePublishMessageMS,アカウント連携コードを発行し、他のプラットフォーム<br>で入力することで、アカウント連携が出来ます。<br><br><yellow>アカウント連携すると、現在ログイン中のアカウント<c><br><c ff4f3f>ゲーマータグ：<lt>$(0)<gt><c><yellow><br>を対象のプラットフォームのアカウントと連携し<br>同じ『PSO2』のセーブデータでプレイすることができます。<c><br><br>アカウント連携コードを発行しますか？<br><br><yellow>※発行した連携コードは、連携先プラットフォームの<br>　『PSO2』で初回ログイン時に入力できます。<br>※連携コードの有効期間は発行から15分間です。<br>※連携先の『PSO2』の準備をしてからのコード発行を<br>お勧めします。<c>
AccountLinkage,0,PrePublishMessageSteam,アカウント連携コードを発行し、他のプラットフォーム<br>で入力することで、アカウント連携が出来ます。<br><br><yellow>アカウント連携すると、現在ログイン中のアカウント<c><br><c ff4f3f><lt>$(0)<gt><c><yellow><br>を対象のプラットフォームのアカウントと連携し<br>同じ『PSO2』のセーブデータでプレイすることができます。<c><br><br>アカウント連携コードを発行しますか？<br><br><yellow>※発行した連携コードは、連携先プラットフォームの<br>　『PSO2』で初回ログイン時に入力できます。<br>※連携コードの有効期間は発行から15分間です。<br>※連携先の『PSO2』の準備をしてからのコード発行を<br>お勧めします。<c>
AccountLinkage,0,PrePublishMessageEpic,アカウント連携コードを発行し、他のプラットフォーム<br>で入力することで、アカウント連携が出来ます。<br><br><yellow>アカウント連携すると、現在ログイン中のアカウント<c><br><c ff4f3f><lt>$(0)<gt><c><yellow><br>を対象のプラットフォームのアカウントと連携し<br>同じ『PSO2』のセーブデータでプレイすることができます。<c><br><br>アカウント連携コードを発行しますか？<br><br><yellow>※発行した連携コードは、連携先プラットフォームの<br>　『PSO2』で初回ログイン時に入力できます。<br>※連携コードの有効期間は発行から15分間です。<br>※連携先の『PSO2』の準備をしてからのコード発行を<br>お勧めします。<c>
AccountLinkage,0,PrePublishMessagePS4,アカウント連携コードを発行し、他のプラットフォーム<br>で入力することで、アカウント連携が出来ます。<br><br><yellow>アカウント連携すると、現在ログイン中のアカウント<c><br><c ff4f3f>“PlayStation™Network”のアカウント：<lt>$(0)<gt><c><yellow><br>を対象のプラットフォームのアカウントと連携し<br>同じ『PSO2』のセーブデータでプレイすることができます。<c><br><br>アカウント連携コードを発行しますか？<br><br><yellow>※発行した連携コードは、連携先プラットフォームの<br>　『PSO2』で初回ログイン時に入力できます。<br>※連携コードの有効期間は発行から15分間です。<br>※連携先の『PSO2』の準備をしてからのコード発行を<br>お勧めします。<c>
AccountLinkage,0,PrePublishMessageAmazon,現在ログインしているアカウントと<br>Amazonアカウントを連携できます。<br><yellow>アカウント連携をすると、Prime Gamingの特典を<br>受け取れるようになります。<c><br><br>Amazonアカウントと連携を行うには、<br>Amazonアカウント連携ページに移動してください。<br><br>以下の二次元コードを読み込むか“ブラウザで開く”<br>を選択することで、連携ページに移動できます。<br><yellow>連携ページでの入力は10分間有効です。<c>
AccountLinkage,0,PublishTitle,アカウント連携コード
AccountLinkage,0,PublishMessageUpper,他プラットフォームのアカウント連携画面で<br>下記コードを有効期限内に入力することで<br>対象のプラットフォームのアカウントと連携し<br>同じセーブデータでプレイすることができます。<br><br><yellow>アカウント連携コードの入力画面は他プラットフォームで<br>初回ログイン時に表示されます。<c>
AccountLinkage,0,AccountLinkagePublishMessageMS,連携するXboxゲーマータグ： $(0)<br>アカウント連携コード       ： $(1)<br>有効期限                  ： $(2)
AccountLinkage,0,AccountLinkagePublishMessageSteam,連携するSteamアカウント： $(0)<br>アカウント連携コード     ： $(1)<br>有効期限                ： $(2)
AccountLinkage,0,AccountLinkagePublishMessageEpic,連携するEpic Gamesアカウント： $(0)<br>アカウント連携コード     ： $(1)<br>有効期限                ： $(2)
AccountLinkage,0,AccountLinkagePublishMessagePS4,連携するPlayStation™Networkアカウント： $(0)<br>アカウント連携コード     ： $(1)<br>有効期限                ： $(2)
AccountLinkage,0,AccountLinkageCode,アカウント連携コード
AccountLinkage,0,Password,パスワード
AccountLinkage,0,PublishMessageDeadline,有効期限
AccountLinkage,0,PublishMessageLower,<yellow>上記の内容は第三者に知られないように<br>大切に保管してください。<c><br><c ff4f3f>※連携するアカウントに間違いがないか、ご注意ください<c>
AccountLinkage,0,AlreadyLinkageTitle,アカウント連携済み
AccountLinkage,0,AlreadyLinkageMessage,既にアカウント連携が完了しています。<br><br>再度アカウント連携をしたい場合は<br>アカウント連携を解除してから行ってください。<br>
AccountLinkage,0,PreLinkageTitle,アカウント連携確認
AccountLinkage,0,PreLinkageMessage,アカウント連携コードを入力することで<br>他のプラットフォームで遊んでいた<br>『PSO2』アカウントでプレイすることが可能です。<br><br>アカウントを連携してゲームを開始しますか？<br><br><yellow>※必要な「アカウント連携コード」は<br>　他プラットフォームでプレイ済みのアカウントで<br>　ログインし、スタートメニューから<br>　「アカウント連携コード発行」を選択し発行できます。<c><br><br><c ff4f3f>※連携せずに始めた場合、既存の<br>『PSO2』セーブデータとは二度と連携出来ません。<c>
AccountLinkage,0,FinalDontLinkageMessage,ゲームを開始すると<br><yellow>既に他のプラットフォームで遊んでいる<br>既存の『PSO2』アカウントとは連携出来なくなります。<c><br><br>本当に連携をせずにゲームを開始して<br>よろしいですか？<br><br><c ff4f3f>※最初にPSO2を開始したプラットフォームの<br>　アカウントとの連携は解除はできません。<c>
AccountLinkage,0,LinkageTitle,アカウント連携コード入力
AccountLinkage,0,LinkageMessage,<yellow>アカウント連携コードの入力を続けて10回間違えた場合<br>24時間利用が制限されますので、ご注意ください。<c>
AccountLinkage,0,LinkageCompleteTitle,アカウント連携完了
AccountLinkage,0,LinkageCompleteMessage,アカウント連携が完了し<br>既存データを引継ぎました。<br><br>以降は連携した他プラットフォームと<br>同一の『PSO2』セーブデータを共有し<br>プレイすることが可能です。<br><br>※各プラットフォームで同時にログインはできません。
AccountLinkage,0,LinkageTutorialTitle,アカウント連携について
AccountLinkage,0,LinkageTutorialMessage1,『ファンタシースターオンライン２（PSO2）』では<br>他プラットフォームのアカウントと<br><yellow>アカウント連携<c>をすることで<br><yellow>同じ『PSO2』のセーブデータでプレイすることが可能です。<c>
AccountLinkage,0,LinkageTutorialMessage2,アカウント連携は<br><yellow>連携したいセーブデータのあるアカウントでログインして<br>アカウント連携コードを発行し<br>『PSO2』のデータがない他のプラットフォーム<br>で入力<c>することで行えます。<br><br>アカウント連携コードは<br><yellow>連携したい『PSO2』のデータがあるアカウントでログインし<br>スタートメニューの「アカウント連携コード発行」を<br>選択する<c>ことで発行できます。<br><br><c ff4f3f>※最初にPSO2を開始したプラットフォームの<br>　アカウントとの連携は解除はできません。<c>
AccountLinkage,0,LinkageTutorialMessage3,他のプラットフォームで新たに『PSO2』を開始すると<br>アカウント連携コードの入力確認画面が表示されます。<br><br>「はい」を選び、アカウント連携コードを入力することで<br>アカウント連携が完了します。<br><br><yellow>・アカウント連携は『PSO2』の「プレイヤーIDネーム」<br>入力前のアカウントとしかできません。<br>・連携しないままアカウントIDネームを作成すると<br>　連携できなくなるのでご注意ください。<br>・連携するアカウントがない場合は「プレイヤーIDネーム」<br>を入力しゲームを開始してください。<c><br><br><c ff4f3f>※連携する場合は、連携元のアカウントのキャラクターが<br>存在するシップを選んでください。<c>
AccountLinkage,0,NotFirstPlatformLinkageTitle,連携コード発行エラー
AccountLinkage,0,NotFirstPlatformLinkageMessage,連携コードは、最初にPSO2を開始したプラットフォームから発行してください。
AccountLinkage,0,NotLinkageAmazon,現在、Amazonアカウント連携機能は<br>ご利用いただけません。
AccountLinkage,0,LinkageButton_Accept,----
AccountLinkage,0,LinkageButton_Browser,ブラウザで開く
AccountLinkage,0,LinkageButton_Cancel,閉じる
AccountLinkage,0,LinkageErrorMessage,エラーが発生しました。<br>時間をおいて再度お試し頂くか、<br>お問い合わせフォームよりご報告を<br>お願いいたします。
AccountLinkage,1,PrePublishTitle,EMITIR CODIGO DE ENLACE DE CUENTA
AccountLinkage,1,PrePublishTitleAmazon,Vincular cuenta de Amazon
AccountLinkage,1,PrePublishMessageMS,rm antes de emitir el código.<c>
AccountLinkage,1,PrePublishMessageSteam,tes de emitir el código.<c>
