section,group,id,text
QuestTraining,0,Title,アークス訓練所
QuestTraining,0,MenuType_Next,次の「$(0)」を行う
QuestTraining,0,MenuType_Next_None,次の訓練はありません
QuestTraining,0,MenuType_Retry,この訓練をもう一度行う
QuestTraining,0,MenuType_Back,ゲートエリアに戻る
QuestTraining,0,TerminalMenuType_Reset,$(0)を最初から行う
QuestTraining,0,TerminalMenuType_Close,端末を出る
QuestTraining,0,TerminalResetConfirmTitle,リトライ端末
QuestTraining,0,TerminalResetConfirmMessage,$(0)をリトライしますか？
QuestTraining,0,TerminalResetConfirmTitle2,リトライ端末
QuestTraining,1,Title,Centro de formación ARKS
QuestTraining,1,MenuType_Next,Pasar al siguiente $(0).
QuestTraining,1,MenuType_Next_None,No hay más formación disponible.
QuestTraining,1,MenuType_Retry,Rehaga este entrenamiento.
QuestTraining,1,MenuType_Back,Regresar al área de la puerta
QuestTraining,1,TerminalMenuType_Reset,Comience $(0) desde el principio.
QuestTraining,1,TerminalMenuType_Close,Salir de la terminal
QuestTraining,1,TerminalResetConfirmTitle,REINTENTAR TERMINAL
QuestTraining,1,TerminalResetConfirmMessage,¿Quieres probar $(0) nuevamente?
QuestTraining,1,TerminalResetConfirmTitle2,REINTENTAR TERMINAL
QuestResult,0,Title,クエストリザルト
QuestResult,0,QuestResultTitle,クエストリザルト
QuestResult,0,ItemResultTitle,アイテムリザルト
QuestResult,0,RankResultTitle,-
QuestResult,0,BeforeQuestResultTitle,前回のクエストリザルト
QuestResult,0,BeforeItemResultTitle,前回のアイテムリザルト
QuestResult,0,BeforeRankResultTitle,-
QuestResult,0,End,終了
QuestResult,0,ItemResultElement1,取得メセタ
QuestResult,0,ItemResultElement2,取得ＥＸＰ
QuestResult,0,ItemResultElement3,取得FUN
QuestResult,0,ItemResultUnit1,メセタ
QuestResult,0,ItemResultUnit2,ＥＸＰ
QuestResult,0,ItemResultUnit3,FUN
QuestResult,0,ItemGet,取得アイテム
QuestResult,0,QuestResultElement1,エネミー撃破達成度
QuestResult,0,QuestResultElement2,被ダメージ
QuestResult,0,QuestResultElement3,戦闘不能回数
QuestResult,0,QuestResultElement4,戦闘不能帰還数
QuestResult,0,QuestResultElement5,クリア時間
QuestResult,0,QuestResultElement6,残り時間
QuestResult,0,QuestResultElement7,クエストポイント
QuestResult,0,QuestResultElement8,拠点耐久値の総残量
QuestResult,0,QuestResultElement9,ＥＱトライアル成功率
QuestResult,0,Score,スコア
QuestResult,0,Perfect,★ PERFECT
QuestResult,0,TotalResult,総合評価
QuestResult,0,ErrandResultTitle,お手伝いしたオーダーの結果
QuestResult,0,ErrandOrderTitle,手伝ったオーダー
QuestResult,0,EquipNoteResultTitle,コレクトシートリザルト
QuestResult,0,BeforeEquipNoteResultTitle,前回のシートリザルト
QuestResult,0,ChallengeResultTitle,チャレンジリザルト
QuestResult,0,ItemResultElement4,取得チャレンジマイル
QuestResult,0,ItemResultUnit4,CM
QuestResult,0,QuestResultElement11,A.I.S搭乗回数
QuestResult,0,QuestResultQuestFlag,クエスト達成度
QuestResult,0,QuestResultElement12,今回のスコア
QuestResult,0,QuestResultElement13,クエスト参加率
QuestResult,0,QuestResultElement14,A.I.S/ライドロイド被撃墜数
QuestResult,0,QuestResultElement15,クエスト進行度
QuestResult,0,QuestResultElement16,撃破達成度
QuestResult,0,QuestResultElement17,追加評価
QuestResult,0,QuestResultElement18,エネミー
QuestResult,0,QuestResultElement19,オブジェクト
QuestResult,0,QuestResultUnit1,体
QuestResult,0,EquipNoteResultElement1,進行度が上昇したシート（上位５件まで表示）
QuestResult,0,EquipNoteResultProgress,$(0) の必要アイテムと進行度
QuestResult,0,EquipNoteResultOther,<yellow>※他にも進行度が上昇したアイテムがあります。<c>
QuestResult,0,EquipNoteResultPercent,$(1).$(0)%
QuestResult,0,PointValue,$(0)pt
QuestResult,0,ChallengeResultTitle1,基本リザルト
QuestResult,0,ChallengeResultTitle2,獲得チャレンジマイル
QuestResult,0,ChallengeResultTitle3,獲得実績
QuestResult,0,ChallengeResultTitle4,チャレンジ参加率
QuestResult,0,ChallengeResultTitle5,獲得チャレンジマイル（ブーストポイント+$(0)%）
QuestResult,0,ChallengeResultTitle6,チャレンジクリア
QuestResult,0,ChallengeResultSub1,クリア率
QuestResult,0,ChallengeResultSub2,MISSION$(0)($(1))
QuestResult,0,ChallengeResultSub3,マイルクリスタル獲得量
QuestResult,0,ChallengeResultSub4,メセタ獲得量
QuestResult,0,ChallengeResultSub5,パーティーボーナス
QuestResult,0,ChallengeResultSub6,クリア率評価
QuestResult,0,ChallengeResultSub7,合計マイルボーナス
QuestResult,0,Get,GET!
QuestResult,0,CollectFileRareDropBoost,レアドロップ倍率ボーナス適用
QuestResult,0,CollectFilePremiumBoost,プレミアムボーナスで2倍上昇！
QuestResult,0,BasnetResultTitle1,勝敗結果
QuestResult,0,BasnetResultTitle2,クエスト結果
QuestResult,0,BasnetResultTitle3,成績
QuestResult,0,BasnetResultTitle4,BP
QuestResult,0,BasnetResultTitle5,グレード変化
QuestResult,0,BasnetResultTitle6,グレード変化（ブースト+$(0)%）
QuestResult,0,BasnetResultSub1,勝敗
QuestResult,0,BasnetResultSub2,ボス撃破
QuestResult,0,BasnetResultSub3,戦力ゲージ差ボーナス
QuestResult,0,BasnetResultSub4,残存拠点数
QuestResult,0,BasnetResultSub5,担当拠点防衛
QuestResult,0,BasnetResultSub6,味方施設被害
QuestResult,0,BasnetResultSub7,戦闘不能回数
QuestResult,0,BasnetResultSub8,バスターポイント
QuestResult,0,BasnetResultSub9,グレード
QuestResult,0,BasnetResultSub10,現在のバスターポイント
QuestResult,0,BasnetResultSub11,次のグレードまであと
QuestResult,0,BasnetResultText1,勝利
QuestResult,0,BasnetResultText2,敗北
QuestResult,0,BasnetResultText3,達成
QuestResult,0,BasnetResultText4,未達成
QuestResult,0,BasnetResultText5,+$(0)
QuestResult,0,BasnetResultText6,-$(0)
QuestResult,0,BasnetResultText7,$(0)
QuestResult,0,BasnetResultText8,$(0)%
QuestResult,0,BasnetResult_NextPointNone,―
QuestResult,0,BasnetResultText9,$(0)
QuestResult,0,ArmadaPoint_Quest,獲得迎撃ポイント
QuestResult,0,ArmadaPoint_Total,全セクター獲得迎撃ポイント合計
QuestResult,0,Prism_RemainCanon,-
QuestResult,0,MackResult_Sub1,到達したステップ数
QuestResult,0,MackResult_Floor,ステップ$(0)
QuestResult,0,MackResult_Sub2,クリアランク
QuestResult,0,MackResult_NoRank,－
QuestResult,0,MackResult_PointName,ディバイドポイント
QuestResult,0,MackResult_WeeklyPointName,今週獲得したディバイドポイント
QuestResult,1,Title,RESULTADOS DE LA MISIÓN
QuestResult,1,QuestResultTitle,RESULTADOS DE LA MISIÓN
QuestResult,1,ItemResultTitle,RESULTADOS DEL ARTÍCULO
QuestResult,1,RankResultTitle,
QuestResult,1,BeforeQuestResultTitle,RESULTADOS DE LA MISIÓN ANTERIOR
QuestResult,1,BeforeItemResultTitle,RESULTADOS DEL ARTÍCULO ANTERIOR
QuestResult,1,BeforeRankResultTitle,
QuestResult,1,End,Finalizado
QuestResult,1,ItemResultElement1,Meseta ganada
QuestResult,1,ItemResultElement2,EXP obtenida
QuestResult,1,ItemResultElement3,DIVERSIÓN ganada
QuestResult,1,ItemResultUnit1,meseta
QuestResult,1,ItemResultUnit2,EXP
QuestResult,1,ItemResultUnit3,DIVERTIDO
QuestResult,1,ItemGet,Artículos obtenidos
QuestResult,1,QuestResultElement1,Muertes de enemigos logradas
QuestResult,1,QuestResultElement2,Daño recibido
QuestResult,1,QuestResultElement3,Tiempos incapacitados
QuestResult,1,QuestResultElement4,Tiempos recuperados
QuestResult,1,QuestResultElement5,Borrar tiempo
QuestResult,1,QuestResultElement6,Time Remaining
QuestResult,1,QuestResultElement7,Puntos de misión
QuestResult,1,QuestResultElement8,Integridad estructural restante
QuestResult,1,QuestResultElement9,Tasa de éxito de la prueba EQ
QuestResult,1,Score,Puntaje
QuestResult,1,Perfect,★ PERFECTO
QuestResult,1,TotalResult,Calificación general
QuestResult,1,ErrandResultTitle,RESULTADOS DEL PEDIDO ASISTIDO
QuestResult,1,ErrandOrderTitle,PEDIDOS QUE ASISTISTE
QuestResult,1,EquipNoteResultTitle,RECOLECTAR. HOJA DE RESULTADOS
QuestResult,1,BeforeEquipNoteResultTitle,RESULTADOS DE LA HOJA ANTERIOR
QuestResult,1,ChallengeResultTitle,RESULTADOS DEL DESAFÍO
QuestResult,1,ItemResultElement4,Millas de desafío ganadas
QuestResult,1,ItemResultUnit4,CENTÍMETRO
QuestResult,1,QuestResultElement11,Horas en que se abordó el AIS
QuestResult,1,QuestResultQuestFlag,Finalización de la misión
QuestResult,1,QuestResultElement12,Puntuación esta vez
QuestResult,1,QuestResultElement13,Tasa de participación en misiones
QuestResult,1,QuestResultElement14,AIS o Ridroids derribados
QuestResult,1,QuestResultElement15,Progreso de la misión
QuestResult,1,QuestResultElement16,Muertes logradas
QuestResult,1,QuestResultElement17,Calificación adicional
QuestResult,1,QuestResultElement18,Enemigo
QuestResult,1,QuestResultElement19,Objeto
QuestResult,1,QuestResultUnit1,enemigos
QuestResult,1,EquipNoteResultElement1,Hoja de progreso (muestra los cinco elementos principales)
QuestResult,1,EquipNoteResultProgress,Artículos necesarios y progresión por $(0).
QuestResult,1,EquipNoteResultOther,<yellow>Nota: Otros elementos también han progresado.<c>
QuestResult,1,EquipNoteResultPercent,$(1).$(0)%
QuestResult,1,PointValue,$(0) puntos
QuestResult,1,ChallengeResultTitle1,RESULTADOS BÁSICOS
QuestResult,1,ChallengeResultTitle2,RETO MILLAS GANADAS
QuestResult,1,ChallengeResultTitle3,LOGROS OBTENIDOS
QuestResult,1,ChallengeResultTitle4,TASA DE PARTICIPACIÓN
QuestResult,1,ChallengeResultTitle5,MILLAS DEL DESAFÍO GANADAS (PUNTOS DE BOOST + $(0)%)
QuestResult,1,ChallengeResultTitle6,DESAFÍOS SUPERADOS
QuestResult,1,ChallengeResultSub1,Borrar tarifa
QuestResult,1,ChallengeResultSub2,MISIÓN $(0) ($(1))
QuestResult,1,ChallengeResultSub3,Hitos obtenidos
QuestResult,1,ChallengeResultSub4,Meseta ganada
QuestResult,1,ChallengeResultSub5,Bono de fiesta
QuestResult,1,ChallengeResultSub6,Borrar calificación
QuestResult,1,ChallengeResultSub7,Bono de Millas Totales
QuestResult,1,Get,¡Obtenido!
QuestResult,1,CollectFileRareDropBoost,Bonificación de tasa de caída poco común aplicada
QuestResult,1,CollectFilePremiumBoost,¡Duplicado por el bono premium!
QuestResult,1,BasnetResultTitle1,RESULTADOS DE GANANCIAS/PERDIDAS
QuestResult,1,BasnetResultTitle2,RESULTADO DE LA MISIÓN
QuestResult,1,BasnetResultTitle3,RESULTADOS
QuestResult,1,BasnetResultTitle4,PA
QuestResult,1,BasnetResultTitle5,CAMBIO DE GRADO
QuestResult,1,BasnetResultTitle6,CAMBIO DE GRADO (AUMENTO + $(0)%)
QuestResult,1,BasnetResultSub1,Ganar/Perder
QuestResult,1,BasnetResultSub2,Jefe derrotado
QuestResult,1,BasnetResultSub3,Bonificación de brecha del indicador de fuerzas
QuestResult,1,BasnetResultSub4,Bases restantes
QuestResult,1,BasnetResultSub5,Base defendida
QuestResult,1,BasnetResultSub6,Instalaciones aliadas dañadas
QuestResult,1,BasnetResultSub7,Tiempos incapacitados
QuestResult,1,BasnetResultSub8,Puntos destructores
QuestResult,1,BasnetResultSub9,Calificación
QuestResult,1,BasnetResultSub10,Puntos Buster actuales
QuestResult,1,BasnetResultSub11,Al siguiente grado
QuestResult,1,BasnetResultText1,gana
QuestResult,1,BasnetResultText2,Pérdidas
QuestResult,1,BasnetResultText3,Logrado
QuestResult,1,BasnetResultText4,No logrado
QuestResult,1,BasnetResultText5,+ $(0)
QuestResult,1,BasnetResultText6,-$(0)
QuestResult,1,BasnetResultText7,$(0)
QuestResult,1,BasnetResultText8,$(0)%
QuestResult,1,BasnetResult_NextPointNone,
QuestResult,1,BasnetResultText9,$(0)
QuestResult,1,ArmadaPoint_Quest,Puntos de intercepción obtenidos
QuestResult,1,ArmadaPoint_Total,"Puntos totales de intercepción, todos los sectores"
QuestResult,1,Prism_RemainCanon,
QuestResult,1,MackResult_Sub1,Etapas superadas
QuestResult,1,MackResult_Floor,Etapa: $(0)
QuestResult,1,MackResult_Sub2,Borrar rango
QuestResult,1,MackResult_PointName,Dividir puntos
QuestResult,1,MackResult_WeeklyPointName,Divida los puntos obtenidos esta semana
QuestInfo,0,MenuType_OngoingQuest,受注中のクエスト
QuestInfo,0,MenuType_OngoingTrial,発生中のＥトライアル
QuestInfo,0,MenuType_QuestCondition,クエスト達成状況
QuestInfo,0,MenuType_QuestDestruction,クエストの破棄
QuestInfo,0,MenuType_BeforeQuestResult,前回のクエストリザルト
QuestInfo,0,MenuType_Back,戻る
QuestInfo,0,Trial_Title,発生中のＥトライアル情報
QuestInfo,0,Trial_Name,Ｅトライアル名
QuestInfo,0,Trial_TrialTarget,Ｅトライアル目標
QuestInfo,0,Trial_ExtraTarget,エクストラ目標
QuestInfo,0,Trial_FailureConditions,失敗条件
QuestInfo,0,Trial_Achievement,進行状況
QuestInfo,0,Trial_Back,戻る
QuestInfo,0,Target_Success,目標達成！
QuestInfo,0,MenuType_ExtraQuestConfirm,キャンペーン内容確認
QuestInfo,0,MenuType_ArksBoostRoadConfirm,アークスブーストラリー情報
QuestInfo,0,Target_Finish,作戦終了
QuestInfo,1,MenuType_OngoingQuest,Misiones aceptadas
QuestInfo,1,MenuType_OngoingTrial,Ensayos de emergencia activa
QuestInfo,1,MenuType_QuestCondition,Progreso de finalización de la misión
QuestInfo,1,MenuType_QuestDestruction,Abandonar la misión
QuestInfo,1,MenuType_BeforeQuestResult,Resultados de misiones anteriores
QuestInfo,1,MenuType_Back,Atrás
QuestInfo,1,Trial_Title,INFORMACIÓN DEL JUICIO DE EMERGENCIA ACTIVA
QuestInfo,1,Trial_Name,Nombre del ensayo de emergencia
QuestInfo,1,Trial_TrialTarget,Objetivo del ensayo de emergencia
QuestInfo,1,Trial_ExtraTarget,Objetivos adicionales
QuestInfo,1,Trial_FailureConditions,Condiciones de falla
QuestInfo,1,Trial_Achievement,Progreso
QuestInfo,1,Trial_Back,Atrás
QuestInfo,1,Target_Success,¡Objetivo completado!
QuestInfo,1,MenuType_ExtraQuestConfirm,Consultar información de la campaña
QuestInfo,1,MenuType_ArksBoostRoadConfirm,Información del rally ARKS Boost
QuestInfo,1,Target_Finish,Operación terminada
Common,0,YesText,はい
Common,0,NoText,いいえ
Common,0,CloseText,閉じる
Common,0,OpenText,開く
Common,0,MaxText,最大化
Common,0,MinText,最小化
Common,0,Sort,ソート
Common,0,Copy,コピー
