section,group,id,text
TutorialText,0,Title,『A.I.Sヴェガ』について
TutorialText,0,text0001,「A.I.Sヴェガ」の操作について説明します。<br><br>「A.I.Sヴェガ」は無重力戦闘が可能であり<br>上下への立体的な移動が出来ます。<br><c 00ffff>上昇<c>：<%Jump><br><yellow>下降<c>：<%MainPaletteC><br><br>また、ステップ後に移動操作を<br>入力し続けることで高速移動が出来ます。<br><yellow>ステップブースト<c>：ステップ後、移動入力<br><br>「オートトラック」スキルを使用中に<br>敵をロックオンしながら移動を行うと敵との<br>高度を自動的に調節します。
TutorialText,0,text0001_b,「A.I.Sヴェガ」の操作について説明します。<br><br>「A.I.Sヴェガ」は無重力戦闘が可能であり<br>上下への立体的な移動が出来ます。<br><c 00ffff>上昇<c>：<%Jump><br><yellow>下降<c>：<%MainPaletteC><br><br>また、ステップ後に移動操作を<br>入力し続けることで高速移動が出来ます。<br><yellow>ステップブースト<c>：ステップ後、移動入力<br><br>「オートトラック」スキルを使用中に<br>敵をロックオンしながら移動を行うと敵との<br>高度を自動的に調節します。
TutorialText,0,text0002,「A.I.Sヴェガ」の<br>新武装を説明します。<br><br><yellow>①カウンターシールド<c><br>敵の攻撃を防ぎカウンター攻撃を行う。<br><%WeaponAction_2>+<%PhotonArts>長押しでPPを消費しつつシールドを展開し<br>シールド中の被弾でエネルギーを吸収する。<br><%PhotonArts>を離すとカウンター攻撃を発射する。<br><br><yellow>②マルチロックミサイル<c><br><%WeaponAction_2>+<%NormalAttack>を押す間<br>複数の敵を同時に捕捉する。<br><%NormalAttack>を離すと捕捉した敵に<br>誘導ミサイルを発射する。
TutorialText,0,text0002_b,「A.I.Sヴェガ」の<br>新武装を説明します。<br><br><yellow>①カウンターシールド<c><br>敵の攻撃を防ぎカウンター攻撃を行う。<br><%WeaponAction_2>+<%PhotonArts>長押しでPPを消費しつつシールドを展開し<br>シールド中の被弾でエネルギーを吸収する。<br><%PhotonArts>を離すとカウンター攻撃を発射する。<br><br><yellow>②マルチロックミサイル<c><br><%WeaponAction_2>+<%NormalAttack>を押す間<br>複数の敵を同時に捕捉する。<br><%NormalAttack>を離すと捕捉した敵に<br>誘導ミサイルを発射する。
TutorialText,0,text0003,「<yellow>リングレーダー<c>」について説明します。<br><br>宙域戦では敵を正面に捉えていない時<br>敵へのガイドが表示されます。<br><br>「A.I.Sヴェガ」の周囲に表示されるので<br>敵が見当たらない場合は<br>ガイドを頼りにしてみましょう。<br><br>※練習クエスト「A.I.Sヴェガ訓練」にて操作練習ができます。
TutorialText,1,Title,AIS Vega
TutorialText,1,text0001,"El AIS Vega permite el combate en gravedad cero, añadiendo verticalidad a tu movimiento.<br><c 00ffff>Mover hacia arriba: <c><%Jump><br><yellow>Mover hacia abajo: <c>Paleta Atrás <%PhotonArts><br><br>También es capaz de realizar movimientos a alta velocidad presionando continuamente<br>una dirección después de dar un paso.<br><br><yellow>Impulso de paso:<c> Después de dar un paso, presione una dirección.<br><br>Cuando la habilidad Autotrack está activa, si te mueves mientras estás bloqueado<br>un enemigo, ajustará automáticamente su altura en relación con el enemigo."
TutorialText,1,text0001_b,"El AIS Vega permite el combate en gravedad cero, añadiendo verticalidad a tu movimiento.<br><c 00ffff>Mover hacia arriba: <c><%Jump><br><yellow>Mover hacia abajo: <c><%MainPaletteC><br><br>También es capaz de realizar movimientos a alta velocidad presionando continuamente<br>una dirección después de dar un paso.<br><br><yellow>Impulso de paso:<c> Después de dar un paso, presione una dirección.<br><br>Cuando la habilidad Autotrack está activa, si te mueves mientras estás bloqueado<br>un enemigo, ajustará automáticamente su altura en relación con el enemigo."
TutorialText,1,text0002,The AIS Vega has some new weapons:<br><br><yellow>Countershield<c><br>Blocks and counters an enemy attack.<br>Hold down <%WeaponAction_2> + <%PhotonArts> to deploy a shield that costs PP.<br>It absorbs energy every time it takes a hit. Release <%PhotonArts> to unleash a counterattack.<br><br><yellow>Multi-Lock Missiles<c><br>Locks onto multiple enemies simultaneously while you hold down <%WeaponAction_2> + <%NormalAttack>.<br>Release <%NormalAttack> to fire guided missiles at all enemies you have a lock on.
TutorialText,1,text0002_b,The AIS Vega has some new weapons:<br><br><yellow>Countershield<c><br>Blocks and counters an enemy attack.<br>Hold down <%WeaponAction_2> + <%PhotonArts> to deploy a shield that costs PP.<br>It absorbs energy every time it takes a hit. Release <%PhotonArts> to unleash a counterattack.<br><br><yellow>Multi-Lock Missiles<c><br>Locks onto multiple enemies simultaneously while you hold down <%WeaponAction_2> + <%NormalAttack>.<br>Release <%NormalAttack> to fire guided missiles at all enemies you have a lock on.
TutorialText,1,text0003,"<yellow>Radar de anillo<c><br>Cada vez que no tengas un enemigo a la vista en el espacio<br>combate, aparecerá una pantalla para guiarte al siguiente objetivo.<br><br>La pantalla aparece alrededor del AIS, así que asegúrese de usarla<br>cuando no puedes ver ningún enemigo en la pantalla.<br><br>Nota: Puedes practicar los controles en Practice Quest “AIS Vega Training”."
