section,group,id,text
CharaName,1,name01,Xiera
CharaName,1,name02,Enga
CharaName,0,name01,シエラ
CharaName,0,name02,エンガ
Skit_ci00,1,skit01,/ci1 Looks like that vehicle phantasm is spawning<br>other phantasms!
Skit_ci00,1,skit02,/toge /ci3 4 It's deceptively nimble.<br>Let's make sure it runs out of gas for good.
Skit_ci00,0,skit01,/ci1 あの車型の幻創種が、他の幻創種を<br>生みだしているみたいです！
Skit_ci00,0,skit02,/toge /ci3 4 図体の割にちょこまかと……<br>徹底的にぶっ壊してやるか。
Skit00,1,skit01,Looks like that vehicle phantasm is spawning<br>other phantasms!
Skit00,1,skit02,/toge It's deceptively nimble.<br>Let's make sure it runs out of gas for good.
Skit00,0,skit01,あの車型の幻創種が、他の幻創種を<br>生みだしているみたいです！
Skit00,0,skit02,/toge 図体の割にちょこまかと……<br>徹底的にぶっ壊してやるか。
