section,group,id,text
CharaName,0,name01,ゼノ
CharaName,0,name02,アフィン
CharaName,0,name03,エコー
CharaName,1,name01,Zeno
CharaName,1,name02,Afin
CharaName,1,name03,Echo
Skit00_ci00,0,skit01,/ci1 2 な、なんだよあれ！<br>あんなでかいヤツ、倒せるわけ……
Skit00_ci00,0,cu_090020_0090,ゼノ！<br>帰還用のテレパイプを準備するから<br>先にその大型ダーカーをやっつけて！
Skit00_ci00,0,skit03,/ci1 2 了解だエコー。<br>フォトンブラストで一気に片をつける。<br>ルーキーども、少し時間を稼いでくれ！
Skit00_ci00,0,skit04,/ci1 2 無理に倒そうと思うなよ。<br>生き残ることを第一に考えろ。
Skit00_ci00,1,skit01,/ci1 2 W-What's that!<br>We can't possibly defeat that huge one...
Skit00_ci00,1,cu_090020_0090,"Zeno! I'm going to get the return Telepipe<br>ready, so go take care of that huge Falspawn!"
Skit00_ci00,1,skit03,"/ci1 2 Roger, Echo. I'll clear them all out<br>with a Photon Blast. Buy me some<br>time, rookies!"
Skit00_ci00,1,skit04,/ci1 2 Don't go overboard trying to kill these<br>things. Survival is the first priority.
Skit00,0,skit01,な、なんだよあれ！<br>あんなでかいヤツ、倒せるわけ……
Skit00,0,cu_090020_0090,ゼノ！<br>帰還用のテレパイプを準備するから<br>先にその大型ダーカーをやっつけて！
Skit00,0,skit03,了解だエコー。<br>フォトンブラストで一気に片をつける。<br>ルーキーども、少し時間を稼いでくれ！
Skit00,0,skit04,無理に倒そうと思うなよ。<br>生き残ることを第一に考えろ。
Skit00,1,skit01,W-What's that!<br>We can't possibly defeat that huge one...
Skit00,1,cu_090020_0090,"Zeno! I'm going to get the return Telepipe<br>ready, so go take care of that huge Falspawn!"
Skit00,1,skit03,"Roger, Echo.<br>I'll clear them all out with a Photon Blast.<br>Buy me some time, rookies!"
Skit00,1,skit04,Don't go overboard trying to kill these things.<br>Survival is the first priority.
