section,group,id,text
Skit,0,text00,進行状況のセーブ/ロードについて
Skit,0,text01,このクエストは、進行状況が記録されており<br>クエストを破棄した場合でも、一定の場所から<br>続きを遊ぶことが可能となっています。
Skit,0,text02,進行状況のセーブについて<br><br>クエストの進行状況がセーブされる際には<br>「クエストの進行を記録しました」というメッセージが表示されます。<br>以後、その場所からクエストを遊ぶことが可能になります。
Skit,0,text03,進行状況のロードについて<br><br>クエストを受託後、進行状況がセーブされている状態で<br>キャンプシップのテレプールに入ると、確認ウィンドウが表示されます。
Skit,0,text04,このとき「続きからプレイする」を決定すると<br>前回の進行状況の続きからプレイすることができます。<br>※続きからプレイしても、記録されたデータは削
Skit,1,text00,Saving and Loading Progress
Skit,1,text01,"This Quest saves your progress and,<br>even if the Quest is aborted,<br>you can continue playing from a designated location."
Skit,1,text02,"Saving Progress<br><br>When progress is saved during a quest,<br>the message ""Quest progress has been saved."" will appear.<br>After that, you can continue playing the quest from that location."
Skit,1,text03,"Loading progress<br><br>If you enter the Telepool on the Gateway Ship after accepting a quest<br>and progress has already been saved, a confirmation window will appear."
Skit,1,text04,"You can continue playing from where you left off<br>by choosing ""Continue playing.""<br>* Continuing to play will not delete the saved data."
