common.text was created: 04-07-2026 7:33:46
Filesize is: 246368 bytes

Test
Group 0
TEST - テストです。

Group 1
TEST - This is a test.


ConnectError
Group 0
ConnectErrorLabel - 通信エラー
ConnectErrorText - サーバーとの通信が切断されました。タイトルに戻ります。
InvalidPasswordText - SEGA IDかパスワードが間違っています。
FailVersionText - サーバーとのバージョンが違います。タイトルに戻ります。
DnsError - DNSエラーです
SignOut_Vita - PlayStation®Networkからサインアウトしました。<br>タイトルへ戻ります。
Resume_Vita - サーバータイムアウトが発生しました。<br>タイトルへ戻ります。
ErrorWindowText - ※エラーの詳細と対応方法については、<br>プレイヤーズサイトをご参照ください。
ErrorCodeText - No.
OkButtonText - OK
WebButtonText - 公式サイトを開く
ShopButtonText - 購入ページを開く
WebURL - <&URL pso2_players_manual_preparations_arkslobby_block>
ShopURL - <&URL AC_CHARGE_PAGE>
Code220_Title - 最新バージョン取得
Code220_Code - サーバーへの接続に失敗しました。
Code220_Message - サーバーが見つかりませんでした。<br>しばらく時間をおいてから、再度接続してください。
Code221_Title - 最新バージョン取得
Code221_Code - 最新バージョンのダウンロードに失敗しました。
Code221_Message - 最新バージョンへ<br>正常にアップデートすることができませんでした。<br>ファイルチェックをお試しいただき、<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へ<br>お問い合わせください。
Code222_Title - 最新バージョン取得
Code222_Code - 最新バージョンのダウンロードに失敗しました。
Code222_Message - 最新バージョンへ<br>正常にアップデートすることができませんでした。<br>ファイルチェックをお試しいただき、<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へお問い合わせください。
Code223_Title - 最新バージョン確認
Code223_Code - バージョンの確認に失敗しました。
Code223_Message - サーバーが見つかりませんでした。<br>しばらく時間をおいてから、再度接続してください。
Code224_Title - 最新バージョン確認
Code224_Code - バージョンの確認に失敗しました。
Code224_Message - サーバーが見つかりませんでした。<br>しばらく時間をおいてから、再度接続してください。
Code225_Title - 最新バージョン取得
Code225_Code - 最新システムファイルのダウンロードに失敗しました。
