section,group,id,text
common,0,Begin,開始5150
common,0,Success,成功5150
common,0,Failure,失敗5150
common,0,Dead,自分死亡5150
common,0,BuddyDead,相手死亡5150
common,0,Evolution,発展5150
common,1,Begin,Begin5150
common,1,Success,Success5150
common,1,Failure,Failure5150
common,1,Dead,YouDied5150
common,1,BuddyDead,PartnerDied5150
common,1,Evolution,Evolution5150
5319,0,Begin,/ci3 1 俺様のせいにするんじゃねーよ！<br>敵の群れに突っ込んでいったのは<br>どこのどいつだ！
5319,0,Success,/ci2 1 ヘッ、俺様一人でも十分だったが<br>ま、助かったといえば助かったぜ。<br>ありがとよ。
5319,0,Failure,/ci4 1 マジかよ……こんな情けねえ……<br>クソッ！　先に退かせてもらう！
5319,0,Dead,どうなってんだよクソっ……！
5319,0,BuddyDead,おっ、なんだぁ、もうヘバったのか？<br>後は俺様達に任せて、おねんねしてな！
5319,1,Begin,"/ci3 1 Oh no, you're not gonna put the blame<br>on me! Who's the one who plunged into the<br>horde of enemies!?"
5319,1,Success,"/ci2 1 I would have been fine on my own,<br>but I guess you made it easier. So thanks."
5319,1,Failure,/ci4 1 Seriously? That's pathetic... Time for us to go!
5319,1,Dead,What the hell is going on!
5319,1,BuddyDead,"Oh, what's up? You're all worn out already? Then <br>leave the rest up to us, it's beddy-bye time for<br>you, baby!"
5316,0,Begin,/ci2 2 余計なことを言うなって！<br>つーかどうせ、雑魚相手だろ！<br>俺様が全部片付けてやる！
5316,0,Success,/ci2 2 だから、余計なことを言うなっての！<br>ったくよー……！<br>おら、とっとと次行くぞ！
5316,0,Failure,/ci3 2 ちっ、だっせー結果だぜ……
5316,0,Dead,/mn5 クソォ……<br>ぜってぇやり返してやるからな！
5316,0,BuddyDead,/mn18 おいおい、マジかよ！<br>……しゃーねえ、休んでろイツキ！<br>後はなんとかしといてやらあ！
5316,1,Begin,"/ci2 2 You'd better watch what you say to me! Anyways,<br>our opponents are all cannon fodder rookies!<br>I'll wipe the floor 'em!"
5316,1,Success,"/ci2 2 Like I said you'd better watch what you say to<br>me, you hear!? Hey! Chop-chop! Let's get going,<br>on to the next one!"
5316,1,Failure,"/ci3 2 Tch, what a lame ending!"
5316,1,Dead,/mn5 Damn you... I'll pay you back for this if it's<br>the last thing I do!
5316,1,BuddyDead,"/mn18 Hey! Hey! Are you SERIOUS? ...Alright, well,<br>take a rest Itsuki! We'll figure the rest out,<br>somehow!"
5320,0,Begin,/ci2 2 わかりにくい言葉使ってんじゃねえよ！<br>別に俺は、貰いっぱなしってのが<br>気に食わねーだけだ！
5320,0,Success,/ci2 2 ったく面倒くせー言い回しだな……<br>まあ、いいぜ……<br>一人で探してもわかんねーからな。
5320,0,Failure,/ci3 2 ちっ、こんなはずじゃ……<br>最悪だぜ……！
5320,0,Dead,/mn5 くっそ……！<br>こんなところで……！
5320,0,BuddyDead,/mn18 おい、無理すんなよ！<br>ったく、後は俺様たちに任せとけ！
5320,1,Begin,/ci2 2 Hey! Don't use those big words! I ain't tryin'<br>to LEARN!
5320,1,Success,"/ci2 2 You have a damn annoying way of wording<br>things...but I guess I need you to keep leading the<br>way, so whatever."
5320,1,Failure,"/ci3 2 Guh, this can't get any worse..."
5320,1,Dead,"/mn5 Damn it, not like this!"
5320,1,BuddyDead,"/mn18 Hey, take it easy! Damn it! Guess the rest is up<br>to us..."
