section,group,id,text
Skit,0,text00,『クエストポイント』について
Skit,0,text01,以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ダガン　1PT
Skit,0,text02,以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>クラーダ　1PT
Skit,0,text03,以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>カルターゴ　3PT
Skit,0,text04,以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ブリアーダ　3PT
Skit,0,text05,以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>エル・ダガン　2PT
Skit,0,text06,以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>エル・アーダ　3PT<br><br>また、上記以外にも強力なダーカーエネミーの<br>存在が確認されており、それらを発見し撃破すれば、<br>大量のクエストポイントを獲得することもできます。
Skit,0,text07,以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ダガン　2PT
Skit,0,text08,以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>クラーダ　2PT
Skit,0,text09,以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>カルターゴ　6PT
Skit,0,text10,以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ブリアーダ　6PT
Skit,0,text11,以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>エル・ダガン　4PT
Skit,0,text12,以下のダーカーエネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>エル・アーダ　6PT<br><br>また、上記以外にも強力なダーカーエネミーの<br>存在が確認されており、それらを発見し撃破すれば、<br>大量のクエストポイントを獲得するこ
Skit,1,text00,Quest Points
Skit,1,text01,You can earn quest points by defeating the following Falspawn: Dagan (1 pt)
Skit,1,text02,You can earn quest points by defeating the following Falspawn: Krahda (1 pt)
Skit,1,text03,You can earn quest points by defeating the following Falspawn: Carthago (3 pts)
Skit,1,text04,You can earn quest points by defeating the following Falspawn: Briarda (3 pts)
Skit,1,text05,You can earn quest points by defeating the following Falspawn: El Dagan (2 pts)
Skit,1,text06,"You can earn quest points by defeating the following Falspawn:<br>El Arda (3 pts)<br><br>There are other powerful Falspawn in addition to the one listed above,<br>which are worth a lot of quest points if you can find and defeat them."
Skit,1,text07,You can earn quest points by defeating the following Falspawn: Dagan (2 pts)
Skit,1,text08,You can earn quest points by defeating the following Falspawn: Krahda (2 pts)
Skit,1,text09,You can earn quest points by defeating the following Falspawn: Carthago (6 pts)
Skit,1,text10,You can earn quest points by defeating the following Falspawn: Briarda (6 pts)
Skit,1,text11,You can earn quest points by defeating the following Falspawn: El Dagan (4 pts)
Skit,1,text12,"You can earn quest points by defeating the following Falspawn:<br>El Arda (6 pts)<br><br>There are other powerful Falspawn in addition to the one listed above,<br>which are worth a lot of quest points if you can find and defeat them."
