section,group,id,text
Skit202012_1,0,text01,来てくれたか<br><%me>！<br>あらためて自己紹介しておくよ。
Skit202012_1,0,text02,俺はキリト。<br>まだここには慣れてないから<br>色々世話になると思う。よろしくな！
Skit202012_1,1,text01,"Hey there, <%me>!<br>I should probably introduce myself again."
Skit202012_1,1,text02,"The name's Kirito. I'm still not used to<br>things here, so I'll probably be counting<br>on you a lot. Hope that's no trouble!"
Skit202012_2,0,text01,俺の服、気になるのか？<br>まぁ、このあたりじゃ<br>あまり見かけない服かもな。
Skit202012_2,0,text02,明るい色は性に合わなくて……<br>ついつい似たような装備を<br>選んじゃうんだ。
Skit202012_2,0,11_voice_NPC_5664_100,昔は、この服のおかげで<br>《黒の剣士》なんて<br>呼ばれてたりもしたな。
Skit202012_2,0,text04,ここでも、良さそうな<br>装備が見つかれば<br>そっちを試してみてもいいかもな。
Skit202012_2,0,text03,＊＊＊
Skit202012_2,1,text01,"Curious about my outfit?<br>Well, I guess it probably sticks out<br>in this place."
Skit202012_2,1,text02,Bright colors aren't really my thing...<br>So I've always gone for<br>equipment of this style.
Skit202012_2,1,11_voice_NPC_5664_100,"A long time ago,<br>people started calling me the ""Black Swordsman""<br>because of these clothes."
Skit202012_2,1,text04,"If I can find some equipment here that suits me,<br>it might be nice to try something new."
Skit202012_2,1,text03,＊＊＊
Skit202012_3,0,text01,さっき二人が、他のアークスに<br>囲まれているのを見たよ。<br>守護輝士は大人気なんだな。
Skit202012_3,0,11_voice_NPC_5664_106,何度かこの世界を救った……？
Skit202012_3,0,text03,なるほど、この世界にとって<br>二人は英雄なんだな。その話<br>いつかゆっくり聞かせてくれよ。
Skit202012_3,0,text02,＊＊＊
Skit202012_3,1,text01,I saw a bunch of ARKS members<br>swarming those two earlier.<br>The Guardians sure seem popular.
Skit202012_3,1,11_voice_NPC_5664_106,They've saved this world numerous times...?
Skit202012_3,1,text03,I see. So that makes them real heroes<br>for the people of this world.<br>Hope I'll get a chance to ask them all about it.
Skit202012_3,1,text02,＊＊＊
Skit202012_4,0,text01,なんとなく察してくれてる<br>みたいだけど、改めて話しておく。
Skit202012_4,0,text02,俺とアスナは、こことは<br>ちょっと違った世界から<br>やってきたんだ。
Skit202012_4,0,text03,ああ、別に元の世界に戻れなく<br>なってるってわけじゃないから<br>そこは安心してくれ。
Skit202012_4,0,text04,ここにいる間は、俺たちも<br>アークスとして活動したいと思う。
Skit202012_4,0,text05,先輩として、いろいろ<br>教えてくれると助かるよ。<br>よろしくな。
Skit202012_4,1,text01,"Seems like you've already figured it <br>out, but I'll say it anyway."
Skit202012_4,1,text02,Asuna and myself have come here <br>from a slightly different universe.
Skit202012_4,1,text03,"Oh, but don't worry. It's not like we're <br>stuck here or anything like that."
Skit202012_4,1,text04,"We figured while we're here, we'd like<br>to work together with ARKS."
Skit202012_4,1,text05,"So, mind showing us the ropes?<br>We'd be grateful."
Skit202012_5,0,text01,『オラクル』か……<br>偶然知ってやってきたけど<br>何か運命的なものを感じるよ。
Skit202012_5,0,text02,数々のアークスたちが<br>それぞれ何かに必死になって<br>懸命に今を生きている。
Skit202012_5,0,text03,それは、どこの世界だって<br>どんな世界だって<br>変わらないって、改めて知ったよ。
Skit202012_5,0,text04,もうすぐ元の世界に戻らなきゃだけど<br>この世界や<%me>たち<br>のことは、きっと忘れない。
Skit202012_5,0,text05,……さて、まだまだ行きたいところや<br>やりたいことがある。<br>付き合ってくれるよな？　守護輝士！
Skit202012_5,1,text01,"""Oracle""...<br>It was completely by chance that I found this place,<br>but I feel like I was meant to come here."
Skit202012_5,1,text02,"You ARKS members<br>have all fought hard, so that you can still be<br>standing here today."
Skit202012_5,1,text03,"Seeing you all in action has been a reminder that,<br>no matter the world,<br>that drive means everything."
Skit202012_5,1,text04,"It's almost time for me to go home,<br>but I will never forget about this world,<br>or you, <%me>."
Skit202012_5,1,text05,"...Anyway, there's still<br>some places and things I wanna see and do.<br>Hope I can count on you for company still, Guardian!"
