section,group,id,text
BubbleMessage,0,Q0,こんにちは
BubbleMessage,0,HELLO,こんにちは
BubbleMessage,0,HELLO_FAV4,こんにちは
BubbleMessage,0,HELLO_FAV3,こんにちは
BubbleMessage,0,HELLO_FAV2,こんにちは
BubbleMessage,0,HELLO_FAV1,こんにちは
BubbleMessage,0,HELLO_FAV0,こんにちは
BubbleMessage,0,GOODBYE,それではまた
BubbleMessage,0,GOODBYE_FAV4,それではまた
BubbleMessage,0,GOODBYE_FAV3,それではまた
BubbleMessage,0,GOODBYE_FAV2,それではまた
BubbleMessage,0,GOODBYE_FAV1,それではまた
BubbleMessage,0,GOODBYE_FAV0,それではまた
BubbleMessage,1,Q0,Hello.
BubbleMessage,1,HELLO,Hello.
BubbleMessage,1,HELLO_FAV4,Hello.
BubbleMessage,1,HELLO_FAV3,Hello.
BubbleMessage,1,HELLO_FAV2,Hello.
BubbleMessage,1,HELLO_FAV1,Hello.
BubbleMessage,1,HELLO_FAV0,Hello.
BubbleMessage,1,GOODBYE,So long.
BubbleMessage,1,GOODBYE_FAV4,So long.
BubbleMessage,1,GOODBYE_FAV3,So long.
BubbleMessage,1,GOODBYE_FAV2,So long.
BubbleMessage,1,GOODBYE_FAV1,So long.
BubbleMessage,1,GOODBYE_FAV0,So long.
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Option 1
Choices,1,00_02,Option 2
Choices,1,TALK_ST,Talk
Choices,1,C_ORDER_ST,Listen
