section,group,id,text
BubbleMessage,0,HELLO,輝石アイテムの交換は<br>こちらです
BubbleMessage,0,HELLO_FAV4,輝石アイテムの交換は<br>こちらです
BubbleMessage,0,HELLO_FAV3,輝石アイテムの交換は<br>こちらです
BubbleMessage,0,HELLO_FAV2,輝石アイテムの交換は<br>こちらです
BubbleMessage,0,HELLO_FAV1,輝石アイテムの交換は<br>こちらです
BubbleMessage,0,HELLO_FAV0,輝石アイテムの交換は<br>こちらです
BubbleMessage,0,Q0,輝石アイテムの交換は<br>こちらです
BubbleMessage,0,GOODBYE,もっと持ってきてね？
BubbleMessage,0,GOODBYE_FAV4,もっと持ってきてね？
BubbleMessage,0,GOODBYE_FAV3,もっと持ってきてね？
BubbleMessage,0,GOODBYE_FAV2,もっと持ってきてね？
BubbleMessage,0,GOODBYE_FAV1,もっと持ってきてね？
BubbleMessage,0,GOODBYE_FAV0,もっと持ってきてね？
BubbleMessage,1,HELLO,We exchange Astracite for items here.
BubbleMessage,1,HELLO_FAV4,We exchange Astracite for items here.
BubbleMessage,1,HELLO_FAV3,We exchange Astracite for items here.
BubbleMessage,1,HELLO_FAV2,We exchange Astracite for items here.
BubbleMessage,1,HELLO_FAV1,We exchange Astracite for items here.
BubbleMessage,1,HELLO_FAV0,We exchange Astracite for items here.
BubbleMessage,1,Q0,We exchange Astracite for items here.
BubbleMessage,1,GOODBYE,I hope you'll bring more next time.
BubbleMessage,1,GOODBYE_FAV4,I hope you'll bring more next time.
BubbleMessage,1,GOODBYE_FAV3,I hope you'll bring more next time.
BubbleMessage,1,GOODBYE_FAV2,I hope you'll bring more next time.
BubbleMessage,1,GOODBYE_FAV1,I hope you'll bring more next time.
BubbleMessage,1,GOODBYE_FAV0,I hope you'll bring more next time.
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Option 1
Choices,1,00_02,Option 2
Choices,1,TALK_ST,Talk
Choices,1,C_ORDER_ST,Listen
