section,group,id,text
Event1,0,text01,大気が不安定な龍祭壇では<br>積雷雲と呼ばれる<br>強い雷雲が発生するそうです。
Event1,0,text02,積雷雲に遭遇すると<br>辺り一面が雷雲に覆われ<br>薄暗くなり、雷鳴が生じます。
Event1,0,text03,更に、時々大きな稲妻が発生して<br>落雷をもたらすそうです……
Event1,0,11_voice_NPC_5055_104,落雷間近の雷雲の特徴を<br>知ることができれば落雷の危険を<br>回避できるかもしれません。
Event1,0,text05,危険な調査でいつも、すみません。<br>データの取得をお願い
Event1,1,text01,"The atmosphere is unstable at the Dragon <br>Altar. I also understand it's home to potent <br>thunder clouds called ""thunderheads."""
Event1,1,text02,"A thunderhead causes the surrounding <br>area to grow dim from being swathed in <br>thunder clouds, and peals of thunder crack <br>through the air."
Event1,1,text03,"Sometimes, there's straight-up lightning, too."
Event1,1,11_voice_NPC_5055_104,"If we could learn more about the traits of<br>thunder clouds near where lightning strikes,<br>it could help us avoid their associated dangers."
Event1,1,text05,"Sorry to thrust you into yet another dangerous<br>situation, but could you perform some data<br>collection for me, please?"
