section,group,id,text
Basic,0,Title,龍に託されたもの
Basic,0,Explanation,龍族の信頼を得て、ゼノ、エコーと共に<br>訪れたのは浮遊大陸の奥地。<br>待っていた老龍族ロ・カミツは<br><%me>に<br>龍族との交流を感謝し<br>託したいものがあると告げた。<br>――――――――――――――――――――<br>失敗条件/戦闘不能後、リタイアを選択
Basic,0,StoryExplanation,龍族の信頼を得て、ゼノ、エコーと共に訪れたのは<br>浮遊大陸の奥地。待っていた老龍族ロ・カミツは<br><%me>に、龍族との<br>交流を感謝し、託したいものがあると告げた。
Basic,1,Title,Entrusted by the Draconians
Basic,1,Explanation,"At the request of the Draconians, the party made<br>their way to the deepest part of the Floating<br>Continent, where the old Draconian Ro'Kamiz<br>waited. He thanked <%me><br>for their rapprochement with the Draconians<br>and claimed that there was something with<br>which he would like to entrust them.<br>-------------------------------------------<br>You will fail this quest if you become incapacitated<br>or retire."
Basic,1,StoryExplanation,"By request of the Draconians, the party went to the deepest<br>part of the Floating Continent, where Ro'Kamiz waited.<br>He thanked <%me> for dealing with<br>the Draconians and entrust them with a special request."
QuestTarget,0,SimpleExplanation,コ・レラを撃退せよ！
QuestTarget,1,SimpleExplanation,Repel Ko'Rela!
AreaName,0,Area0S,浮遊大陸
AreaName,0,Area0L,惑星アムドゥスキア　浮遊大陸
AreaName,1,Area0S,Floating Continent
AreaName,1,Area0L,Amduskia - Floating Continent
