section,group,id,text
st_048164,0,st_048164_0730,みんなー！<br>来てくれて、あっりがとー！
st_048164,0,st_048164_0740,明るく、激しく、鮮烈にっ！<br>オラクルと、地球を繋ぐ歌！<br>楽しんでいってね！
st_048164,0,linewindow001,エンガ、ヒツギ、コオリをパートナーとして呼べるようになりました。
st_048164,1,st_048164_0730,"Thanks for coming, everyone!!"
st_048164,1,st_048164_0740,Shining! Intense! Brilliant! Up next is a song<br>for our friends on Earth! Enjoy!
st_048164,1,linewindow001,"You can now invite Enga, Hitsugi, and Kohri as your Partners."
Skit,0,skit01,God's awaking
Skit,0,skit02,世界終焉の具現
Skit,1,skit01,A God's Awakening
Skit,1,skit02,Avatar of Annihilation
