section,group,id,text
Event1,0,name01,シエラ
Event1,0,text01,ジェットブーツは<br>テクニックのチャージにあわせて<br><red>属性が変化<c>します。
Event1,0,text02,まずはフォイエを<br>チャージしてみましょう！
Event1,0,text101,課題３：<yellow>武器属性を上書きする
Event1,1,name01,Xiera
Event1,1,text01,Jet Boots can <red>change Elements<c><br>by charging Techniques.
Event1,1,text02,Try charging up Foie!
Event1,1,text101,Training 3: <yellow>Change your weapon Element
Tut_win,0,train_title,課題３：<yellow>武器属性を上書きする
Tut_win,0,tut_title,属性の上書きについて
Tut_win,0,text100,・サブパレットにセットされている<br>　フォイエをチャージしてギアをためる
Tut_win,0,tut_win_title,『ジェットブーツギア』について
Tut_win,0,tut_win_text100,クラススキル「ジェットブーツギア」を<br>習得している場合には<br>メインパレットの上部に<br>ギアゲージが追加されます。<br><br>ジェットブーツの攻撃をヒットさせたり<br>テクニックのチャージ行動を行うことで<br>ギアゲージが蓄積されていきます。
Tut_win,0,tut_win_text101,ギアゲージが高まると<br>武器に応じた属性の効果が付与され<br>通常攻撃は範囲と威力が上昇。<br>PAは威力が上昇します。<br><br>また、<br>ジェットブーツに付与された属性とは異なる<br>属性テクニックをチャージすることで、<br>ジェットブーツに付与されている属性を<br>上書きすることが可能です。
Tut_win,1,train_title,Training 3: <yellow>Change your weapon Element
Tut_win,1,tut_title,Changing Elements
Tut_win,1,text100,"-Charge Foie, which is set to your Sub-Palette,<br>and build up Focus"
Tut_win,1,tut_win_title,Jet Boots Focus
Tut_win,1,tut_win_text100,"Once you've learned the Jet Boots Focus skill,<br>a Focus Gauge is added to the top of your<br>weapon palette.<br><br>This gauge will fill as you land hits<br>with your Jet Boots and charge Techniques."
Tut_win,1,tut_win_text101,"Once the Focus Gauge is full, your normal<br>attacks will increase in range and power.<br>They will also acquire an elemental effect that<br>matches your weapon.<br>Your Photon Arts power will increase as well.<br><br>Additionally, if you perform a Charged Technique<br>of a different elemental type than the Jet<br>Boots you have equipped, you can overwrite<br>the Element of your Jet Boots."
