section,group,id,text
Required,0,Title,スティア連破訓練・1-Ⅴ
Required,0,Summary,アークス上級訓練教官ロナルディンから、<br>経験を積むために、<br>ドレッドエネミーの討伐を勧められる。<br><br><yellow>※対象リージョン：スティア<br>※推奨セクション：スティア外縁部<br>※ドレッドエネミー：<br>　二つ名“老練の”が付いた個体<c>
Required,1,Title,Entrenamiento implacable de Stia 1-V
Required,1,Summary,"ARKS Advanced Training Instructor Ronaldine le ha encomendado derrotar enemigos terribles para ganar experiencia.<br><br><yellow>Region objetivo: Stia<br>Sector recomendado: Extremo de Stia<br>Enemigos terribles: Busque especimenes cuyos nombres incluyen ""Veterano"".<c>"
SubObjectives,0,text0101,老練のブレゼントスを倒す
SubObjectives,0,text0102,老練のダスクディサイズを倒す
SubObjectives,0,text0103,老練のボルトレムナスを倒す
SubObjectives,1,text0101,Derrota a un Blazentos veterano
SubObjectives,1,text0102,Derrota a una guadaйa Duskdi veterana
SubObjectives,1,text0103,Derrota a un veterano Volt Lemnas
