section,group,id,text
msc_020080,0,msc_020080_0010,これをこうして……。
msc_020080,0,msc_020080_0020,こっちをこう……。
msc_020080,0,msc_020080_0030,よしっ……。
msc_020080,0,msc_020080_0040,準備オッケー！<br>いつでも行けるよ。
msc_020080,0,msc_020080_0050,これで決める！
msc_020080,0,msc_020080_0060,セントラルキャノン、撃てーっ！
msc_020080,0,msc_020080_0070,まだまだ！
msc_020080,0,msc_020080_0080,逃がさないっ！
msc_020080,0,msc_020080_0090,最後は、キミに譲るよ……。
msc_020080,0,msc_020080_0100,散って行った、仲間のぶんまで。
msc_020080,0,msc_020080_0110,……頼むぞ。
msc_020080,0,msc_020080_0120,キミにならできる！
msc_020080,0,msc_020080_0130,お願い！
msc_020080,0,msc_020080_0140,ハルファに平和を！
msc_020080,0,msc_020080_0150,よしっ！
msc_020080,1,msc_020080_0010,Ahora simplemente...
msc_020080,1,msc_020080_0020,Y luego...
msc_020080,1,msc_020080_0030,Allá...
msc_020080,1,msc_020080_0040,¡Todo terminado! Listo cuando tú lo estés.
msc_020080,1,msc_020080_0050,¡Haz que esto cuente!
msc_020080,1,msc_020080_0060,¡Cañón Central! ¡Fuego!
msc_020080,1,msc_020080_0070,¡Maldita sea!
msc_020080,1,msc_020080_0080,¡No te irás!
msc_020080,1,msc_020080_0090,Esto es todo tu...
msc_020080,1,msc_020080_0100,¡Reclama venganza por todos los que han caído!
msc_020080,1,msc_020080_0110,Tienes esto.
msc_020080,1,msc_020080_0120,¡Sé que puedes hacerlo!
msc_020080,1,msc_020080_0130,¡Por favor!
msc_020080,1,msc_020080_0140,¡Por la paz en Halpha!
msc_020080,1,msc_020080_0150,¡Sí!
