section,group,id,text
msq_013211,0,msq_013211_0010,タイヴァス、だよね？
msq_013211,0,msq_013211_0020,そうだ！　ん？　なんで俺の名を？<br>ああ、クッカから連絡があったヒトたちか！
msq_013211,0,msq_013211_0030,攻撃はすべて俺が受け止める！<br>そのあいだに敵を仕留めてくれ！
msq_013211,0,msq_013211_0040,え？　えぇ……。
msq_013211,0,name010,アイナ
msq_013211,0,name020,タイヴァス
msq_013211,0,name030,マノ
msq_013211,1,msq_013211_0010,"Eres Taivas, ¿verdad?"
msq_013211,1,msq_013211_0020,"¡Soy! Esperar. ¿Cómo supiste mi nombre? ¡Oh, ustedes deben ser los que mencionó Kukka!"
msq_013211,1,msq_013211_0030,"¡Bloquearé sus ataques! Mientras hago eso, ¡sácalos tú!"
msq_013211,1,msq_013211_0040,"¿Qué? Mmm, está bien..."
msq_013211,1,name010,Aina
msq_013211,1,name020,taivas
msq_013211,1,name030,Manón
