section,group,id,text
MainText,1,name010,Aina
MainText,1,name020,Manon
MainText,1,name030,Lucia
MainText,1,name040,Ilma
MainText,1,name050,Crawford
MainText,1,text010,Esta es la torre...
MainText,1,text020,Parece que podemos entrar.
MainText,1,text030,"¡Qué lectura energética tan poderosa! Una vez dentro, <br>bloqueará nuestras comunicaciones hasta que logres eliminar la fuente."
MainText,1,text040,Soy Crawford.<br>Confío en que encontrarás información que podamos usar para cerrar esa brecha en los secuestros.
MainText,1,text050,Estoy seguro de que Starless te espera dentro...<br>Además de mi imitador. Procede con precaución.
MainText,1,text060,"Gracias, Crawford, Ilma.<br>¡Tengamos muchísima precaución!"
MainText,1,text070,Entra en la torre
MainText,1,text080,Regresar (se puede reanudar más tarde)
MainText,0,name010,アイナ
MainText,0,name020,マノン
MainText,0,name030,ルーシア
MainText,0,name040,イルマ
MainText,0,name050,クロフォード
MainText,0,text010,これが、塔……。
MainText,0,text020,どうやら、ここから中に入れそうね。
MainText,0,text030,すごいエネルギー反応だ。内部に入れば、発生源を絶つまで、<br>僕たちとの通信は繋がらなくなると思ってくれ。
MainText,0,text040,こちら、クロフォードだ。<br>アブダクションホールを止める手がかりを探す役目、キミたちに託したよ。
MainText,0,text050,中では、おそらくスターレスたちが、そして……<br>僕の“影”が待ち構えている。くれぐれも気を付けてくれ。
MainText,0,text060,ありがとう、クロフォード、イルマ。<br>無理は禁物、慎重に行こう！
MainText,0,text070,塔に入る
MainText,0,text080,帰還する（続きから再開可能）
