section,group,id,text
Required,0,Title,リテムシティへ
Required,0,Summary,リテムシティへ
Required,1,Title,A la ciudad de Retem
Required,1,Summary,A la ciudad de Retem
SubObjectives,0,Objective311,リテムシティに向かう
SubObjectives,0,Objective321,エネミーを倒す
SubObjectives,0,Objective331,増援のエネミーを倒す
SubObjectives,0,Objective341,リテムシティに向かう
SubObjectives,0,Objective351,エネミーを倒す
SubObjectives,0,Objective361,リテムシティに向かう
SubObjectives,1,Objective311,Dirígete a la ciudad de Retem
SubObjectives,1,Objective321,Derrota a los enemigos
SubObjectives,1,Objective331,Derrota a los refuerzos enemigos.
SubObjectives,1,Objective341,Dirígete a la ciudad de Retem
SubObjectives,1,Objective351,Derrota a los enemigos
SubObjectives,1,Objective361,Dirígete a la ciudad de Retem
