section,group,id,text
Required,0,Title,多忙な新人・Ⅱ
Required,0,Summary,クヴァリス先遣隊の隊員ロアールから、<br>調査のために、<br>鉱石の入手を頼まれる。<br><br><yellow>※ギャザリング素材入手可能天候：<br>　雪、吹雪<c>
Required,1,Title,Los novatos corren irregularmente II
Required,1,Summary,"Roald, miembro del Equipo de Avance de Kvaris, te pide que obtengas minerales para fines de investigación.<br><br><yellow>Clima en el que se puede obtener el material de recolección: Nieve, Ventisca<c><br>"
SubObjectives,0,text0101,西クヴァリスに向かう
SubObjectives,0,text0102,天候が雪か吹雪のときに<br>ブリザーディアムを入手する
SubObjectives,0,text0103,ロアールと話す
SubObjectives,1,text0101,Dirígete a Kvaris Occidental
SubObjectives,1,text0102,Obtén Blizzardium cuando el clima sea Nieve o Ventisca
SubObjectives,1,text0103,hablar con roaldo
