section,group,id,text
common,1,Begin_7001040_a,/ci1 2 I just met up with Manon. Let's fight together!
common,1,Success_7001040_a,/ci2 1 I'm glad I got to fight with you! See you later!
common,1,Failure_7001040_a,/ci4 3 That didn't work...<br>But it's okay. We'll get 'em next time!
common,1,Begin_7034011_a,"/ci1 2 That's a nice outfit, Lucia!<br>Right, <%me>?"
common,1,Success_7034011_a,"/ci2 1 All right, <%me>.<br>See you later!"
common,0,Begin_7001040_a,/ci1 2 今ちょうど、マノンと合流してたんだ。一緒に戦おうよ！
common,0,Success_7001040_a,/ci2 1  キミと一緒に戦えて良かった！　また後でね！
common,0,Failure_7001040_a,/ci4 3 失敗しちゃった……。<br>でも大丈夫、次は成功させようね！
common,0,Begin_7034011_a,/ci1 2 ルーシア、その格好も似合ってるよ！<br>ねっ、<%me>！
common,0,Success_7034011_a,/ci2 1  それじゃ、<%me>。<br>また後でね！
