section,group,id,text
common,0,TrialName,暴風域エネミー討伐
common,0,TrialBeginMsg,特異天候下でエネミーを撃破せよ！
common,0,TrialAbstract,エネミーを倒す
common,1,TrialName,Supresión de enemigos en la zona de tormenta
common,1,TrialBeginMsg,¡Derrota enemigos en condiciones climáticas anómalas!
common,1,TrialAbstract,Derrota a los enemigos
type102,0,NpcComOnForetaste,/voice11_voice_navi001_trial_0001_001 その付近に大型エネミーの反応があります！<br>それと、局所的に大気の状態が不安定なようです。警戒を！
type102,0,NpcComOnSuccess,/voice11_voice_navi001_trial_0001_009 エネミーの殲滅を確認しました！<br>協力いただき、ありがとうございます。
type102,0,NpcComOnFailure,/voice11_voice_navi001_trial_0001_072 エネミーが撤退しました。<br>……深追いせず、別の目標を探しましょう。
type102,0,NpcComOnBegin,竜巻の周囲をただようブラストチャージサインを回収し、<br>戦いを有利に進めてくださ
type102,1,NpcComOnForetaste,/voice11_voice_navi001_trial_0001_001 ¡Hay un gran enemigo leyendo cerca de tu ubicación! el local<br>Las condiciones atmosféricas también parecen ser desestabilizadoras. ¡Cuidadoso!
type102,1,NpcComOnSuccess,/voice11_voice_navi001_trial_0001_009 ¡Confirmada la erradicación del enemigo!<br>Se agradece su apoyo.
type102,1,NpcComOnFailure,/voice11_voice_navi001_trial_0001_072 El enemigo se ha retirado.<br>Por favor no sigas. Dirígete a otro objetivo.
type102,1,NpcComOnBegin,¡Recoge la Blastisigne esparcida por el tornado para ganar ventaja!
