section,group,id,text
TutorialText,0,Title,ウォールキック
TutorialText,0,text0001,二段ジャンプ：<br>　ジャンプ中に<pict 4space><%Jump><br>ウォールキック：<br>　ジャンプ中、壁に接触し<br>　<%LStick><pict 4space>の入力維持
TutorialText,0,text0001_pad,二段ジャンプ：<br>　ジャンプ中に<pict 4space><%Jump><br>ウォールキック：<br>　ジャンプ中、<swguidetype T_Moveguide_l>を<br>　押したまま壁面に接触
TutorialText,0,text0001_manual,二段ジャンプ：<br>　ジャンプ中に<pict 4space><%Jump><br>ウォールキック：<br>　ジャンプ中、<pict 4space><swguidetype T_Moveguide_l>を<br>　押したまま壁面に接触して<pict 4space><%Jump>
TutorialText,0,text0001_key,二段ジャンプ：<br>　ジャンプ中に<pict 4space><%Jump><br>ウォールキック：<br>　ジャンプ中、<swguidetype T_Moveguide_l>を<br>　押したまま壁面に接触
TutorialText,1,Title,Patear la pared
TutorialText,1,text0001,con una pared mientras saltas y mantienes<br>o<%LStick>en una dirección.
TutorialText,1,text0001_pad,Doble Salto:<br><%Jump> mientras saltas.<br>Patada a la pared:<br>mantén<swguidetype T_Moveguide_l>mientras saltas<br>contra una pared.
TutorialText,1,text0001_manual,etype T_Moveguide_l> while jumping,<br>then press <%Jump> against a wall.
TutorialText,1,text0001_key,ld<swguidetype T_Moveguide_l>mientras saltas<br>contra una pared.
