section,group,id,text
BoxGacha,0,BoxGacha_Top_Title,リワードボックス
BoxGacha,0,BoxGacha_Top_Step,Step.$(0)（進行中）
BoxGacha,0,BoxGacha_Top_Step2,Step.$(0)
BoxGacha,0,BoxGacha_Top_Step3,Step.$(0)（ループ）
BoxGacha,0,BoxGacha_Top_Step4,Step.$(0)（進行中/ループ）
BoxGacha,0,BoxGacha_Top_RestGift,残りアイテム数
BoxGacha,0,BoxGacha_Top_RestGift_Num,$(0)/$(1)
BoxGacha,0,BoxGacha_Top_SeasonName,$(0)
BoxGacha,0,BoxGacha_Top_Ticket_Name,$(0)
BoxGacha,0,BoxGacha_Top_Tickets_Num,$(0)枚
BoxGacha,0,BoxGacha_Top_Period,開催期間
BoxGacha,0,BoxGacha_Top_Lots_Draw,$(0)回引く<br>必要数：$(1)枚
BoxGacha,0,BoxGacha_Top_ItemStuckNum,×$(0)
BoxGacha,0,BoxGacha_Top_Confirm_Title1,メッセージ
BoxGacha,0,BoxGacha_Top_Confirm_Detail,対象メダル$(1)枚を使用して、<br>“$(0)”のアイテムを入手します。<br>よろしいですか？
BoxGacha,0,BoxGacha_Top_Confirm_Decide,はい
BoxGacha,0,BoxGacha_Top_Confirm_Cancel,いいえ
BoxGacha,0,BoxGacha_Top_AllComplete,全アイテム獲得済み
BoxGacha,0,BoxGacha_Result_Title,獲得アイテム一覧
BoxGacha,0,BoxGacha_Result_Detail,以下のアイテムを入手しました。
BoxGacha,0,BoxGacha_Result_End,閉じる
BoxGacha,0,BoxGacha_Guide,決定：<%Decide>　　キャンセル：<%Cancel>　　操作項目の移動：<%NextWidget>
BoxGacha,0,BoxGacha_Notice1,すべてのアイテムを入手しました。Step.$(0)に進みます。
BoxGacha,0,BoxGacha_Notice2,すべてのアイテムを入手しました。次のステップには進まず、現在のステップに再度挑戦できます。
BoxGacha,0,BoxGacha_Notice3,現在のリワードボックスにあるすべてのアイテムを入手しました。
BoxGacha,0,BoxGacha_CompTitle,Stepパーフェクト報酬
BoxGacha,0,BoxGacha_CompMessage,**のコンプリート報酬を<br>獲得できます。
BoxGacha,1,BoxGacha_Top_Title,caja de recompensas
BoxGacha,1,BoxGacha_Top_Step,Paso.$(0) (en progreso)
BoxGacha,1,BoxGacha_Top_Step2,Paso.$(0)
BoxGacha,1,BoxGacha_Top_Step3,Paso.$(0) (bucle)
BoxGacha,1,BoxGacha_Top_Step4,Paso.$(0) (en progreso/bucle)
BoxGacha,1,BoxGacha_Top_RestGift,Artículos restantes
BoxGacha,1,BoxGacha_Top_RestGift_Num,$(0)/$(1)
BoxGacha,1,BoxGacha_Top_SeasonName,$(0)
BoxGacha,1,BoxGacha_Top_Ticket_Name,$(0)
BoxGacha,1,BoxGacha_Top_Tickets_Num,$(0)
BoxGacha,1,BoxGacha_Top_Period,tiempo
BoxGacha,1,BoxGacha_Top_Lots_Draw,Juega $(0) veces<br>Medallas necesarias: $(1)
BoxGacha,1,BoxGacha_Top_ItemStuckNum,x$(0)
BoxGacha,1,BoxGacha_Top_Confirm_Title1,mensaje
BoxGacha,1,BoxGacha_Top_Confirm_Detail,¿Usar $(1) medalla(s) para obtener $(0) artículos?
BoxGacha,1,BoxGacha_Top_Confirm_Decide,Sí
BoxGacha,1,BoxGacha_Top_Confirm_Cancel,No
BoxGacha,1,BoxGacha_Top_AllComplete,Todos los artículos obtenidos.
BoxGacha,1,BoxGacha_Result_Title,Lista de artículos adquiridos
BoxGacha,1,BoxGacha_Result_Detail,Obtuvo los siguientes artículos:
BoxGacha,1,BoxGacha_Result_End,cerca
BoxGacha,1,BoxGacha_Guide,Confirmar:<%Decide>Cancelar:<%Cancel>Siguiente comando: <%NextWidget>
BoxGacha,1,BoxGacha_Notice1,Todos los artículos obtenidos. Pasando al paso.$(0).
BoxGacha,1,BoxGacha_Notice2,Todos los artículos obtenidos. Puede volver a intentar el paso actual sin pasar al siguiente.
BoxGacha,1,BoxGacha_Notice3,Todos los artículos de la Caja de Recompensas actual obtenidos.
BoxGacha,1,BoxGacha_CompTitle,paso perfecto recompensa
BoxGacha,1,BoxGacha_CompMessage,ficción
Error,0,Title,メッセージ
Error,0,EmergencyStopClose,現在、選択した機能に問題が発生しており<br>調査のため使用を制限しています。<br>詳しくはプレイヤーズサイトをご確認ください。
Error,0,MatchingClose,マッチング中は実行できません。<br>リワードボックスのウィンドウを閉じます。
Error,0,OtherErrorClose,予期せぬエラーが発生しました。<br>リワードボックスのウィンドウを閉じます。
Error,0,NoTicket,対象メダルが不足しています。<br>対象メダルを、<br>アイテムパックに入れた状態で実行してください。
Error,0,NotEnoughTicket,対象メダルが不足しています。<br>対象メダルを、<br>アイテムパックに入れた状態で実行してください。
Error,0,NoSpaceInWarehouse,リワードボックスを引くための<br>倉庫の空き容量が不足しています。
Error,0,NotEnoughSpaceInWarehouse,リワードボックスを引くための<br>倉庫の空き容量が不足しています。
Error,0,OutOfStock,このステップの報酬は、すべて獲得済みです。
Error,0,NotEnoughStock,指定したメダル数よりも、残りアイテム数が少ない状態です。
Error,0,Matching,マッチング中は、リワードボックスを実行できません。
Error,0,OtherError,予期せぬエラーが発生しました。
Error,0,UseItem,アイテムが使用できませんでした。
Error,0,UnexpetedClose,予期せぬエラーが発生しました。<br>リワードボックスのウィンドウを閉じます。
Error,0,EndedContent,リワードボックスの開催期間が過ぎています。<br>前の画面に戻ります。
Error,1,Title,mensaje
Error,1,EmergencyStopClose,攀搀 眀栀椀氀攀 眀攀 椀渀瘀攀猀琀椀最愀琀攀⸀㰀戀爀㸀倀氀攀愀猀攀 挀栀攀挀欀 琀栀攀 漀昀昀椀挀椀愀氀 猀椀琀攀 昀漀爀 搀攀琀愀椀氀猀⸀
Error,1,MatchingClose,No se puede salir durante el emparejamiento.<br>Cerrando la ventana de la Caja de Recompensas.
Error,1,OtherErrorClose,Ha ocurrido un error inesperado. Cerrando la ventana de la Caja de Recompensas.
Error,1,NoTicket,No hay suficientes medallas.<br>Inténtalo de nuevo con las medallas en tu inventario.
Error,1,NotEnoughTicket,No hay suficientes medallas.<br>Inténtalo de nuevo con las medallas en tu inventario.
Error,1,NoSpaceInWarehouse,No hay suficiente espacio en el almacenamiento para abrir una caja de recompensas.
Error,1,NotEnoughSpaceInWarehouse,No hay suficiente espacio en el almacenamiento para abrir una caja de recompensas.
Error,1,OutOfStock,Todas las recompensas de este paso obtenidas.
Error,1,NotEnoughStock,No quedan suficientes artículos para el número especificado de medallas.
Error,1,Matching,No se puede abrir una caja de recompensas durante el emparejamiento.
Error,1,OtherError,Se produjo un error inesperado.
Error,1,UseItem,texto_dummy
Error,1,UnexpetedClose,Ha ocurrido un error inesperado. Cerrando la ventana de la Caja de Recompensas.
Error,1,EndedContent,El evento Caja de recompensas ha finalizado.<br>Volviendo a la pantalla anterior.
