section,group,id,text
Required,0,Title,ハルファ広域連破訓練・2-Ⅲ
Required,0,Summary,アークス上級訓練教官ロナルディンから、<br>経験を積むために、<br>エネミーの討伐を勧められる。<br><br><yellow>※推奨セクション：<br>　リテム・エルノザ（Rank.4以上）<c>
Required,1,Title,Relentless Training Across Halpha 2-III
Required,1,Summary,ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience.<br><br><yellow>Recommended Sector: Retem Alnothe (Rank 4 or Higher)<c>
SubObjectives,0,text0101,アルマロンゴ（Lv.60以上）を倒す
SubObjectives,0,text0102,シグノガン・ロア（Lv.60以上）を倒す
SubObjectives,0,text0103,ギルナッチ・ロア（Lv.60以上）を倒す
SubObjectives,1,text0101,Defeat Alma Rongos (Lv.60 or greater)
SubObjectives,1,text0102,Defeat Signogun Lores (Lv.60 or greater)
SubObjectives,1,text0103,Defeat Gillnach Lores (Lv.60 or greater)
