section,group,id,text
Required,0,Title,連破訓練・1-Ⅳ
Required,0,Summary,アークス上級訓練教官ロナルディンから、<br>経験を積むために、<br>ドールズの討伐を勧められる。<br><br><yellow>※推奨セクション：<br>　マクアド下層<c>
Required,1,Title,Relentless Training 1-IV
Required,1,Summary,ARKS Advanced Training Instructor Ronaldine has<br>tasked you with suppressing DOLLS in order to gain<br>some experience.<br><br><yellow>Recommended sector: Maqead Lower Level<c>
SubObjectives,0,text0101,デザス・ガンを倒す
SubObjectives,0,text0102,デザス・ランチャーを倒す
SubObjectives,0,text0103,メティウスを倒す
SubObjectives,1,text0101,Defeat Deser Guns
SubObjectives,1,text0102,Defeat Deser Launchers
SubObjectives,1,text0103,Defeat Metius
