section,group,id,text
Required,1,Title,Lucia's Memories
Required,1,Summary,Lucia runs out of the Command Room after hearing Crawford's message.<br>The party follows after her.
Required,0,Title,ルーシアの記憶
Required,0,Summary,クロフォードからの通達を受けて、<br>ルーシアは指令室を飛び出してしまう。<br><%me>たちは、<br>ルーシアの後を追う。
SubObjectives,1,text0101,Talk to Lucia
SubObjectives,1,text0102,Head to Retem City
SubObjectives,1,text0103,Talk to Nadereh near the monuments
SubObjectives,1,text0104,Head to the Task Marker location
SubObjectives,1,text0105,Talk to Nadereh
SubObjectives,1,text0106,Head to South Kvaris
SubObjectives,1,Objective360,<space>
SubObjectives,1,text0107,Talk to Meri
SubObjectives,1,text0108,Head to the Stia Camp
SubObjectives,1,text0109,Search for Glen
SubObjectives,1,text0110,Head to the Task Marker location
SubObjectives,1,text0111,Talk to Glen
SubObjectives,0,text0101,ルーシアと話す
SubObjectives,0,text0102,リテムシティに向かう
SubObjectives,0,text0103,墓標の近くでナーデレフと話す
SubObjectives,0,text0104,ガイドマーカーの指し示す場所に向かう
SubObjectives,0,text0105,ナーデレフと話す
SubObjectives,0,text0106,南クヴァリスに向かう
SubObjectives,0,Objective360,<space>
SubObjectives,0,text0107,メリと話す
SubObjectives,0,text0108,スティアキャンプに向かう
SubObjectives,0,text0109,グレンを探す
SubObjectives,0,text0110,ガイドマーカーの指し示す場所に向かう
SubObjectives,0,text0111,グレンと話す
