section,group,id,text
MainText,0,name010,ラン
MainText,0,text010,<%me>さん、聞こえますか？
MainText,0,text020,アークスとしてのこれまでの活躍が評価され、<br>新たな任務への参加が認められました。
MainText,0,text030,これは、非常に危険な任務です。<br>入念に準備を整えてから、参加するようにしてください。
MainText,0,text040,それでは、健闘をお祈りしています。
MainText,1,name010,Corrió
MainText,1,text010,"<%me>, ¿puedes oírme?"
MainText,1,text020,"Debido a tus destacadas contribuciones como defensor de ARKS, has sido seleccionado<br>para unirte a una nueva misión."
MainText,1,text030,"Esta es una misión extremadamente peligrosa, así que asegúrate de estar<br>completamente preparado antes de unirte."
MainText,1,text040,"Pues bien, eso es todo. Buena suerte ahí f"
