section,group,id,text
Required,0,Title,エアリオタウン
Required,0,Summary,エアリオタウン
Required,1,Title,Aelio Town
Required,1,Summary,Aelio Town
SubObjectives,0,Objective311,ボージと話す
SubObjectives,0,Objective320,text320
SubObjectives,0,Objective321,アイテムコンテナを探す
SubObjectives,0,Objective322,text322
SubObjectives,0,Objective331,防具を装備する
SubObjectives,0,Objective341,ガロアの家に戻る
SubObjectives,0,text010,バリーと話す
SubObjectives,0,text020,畑を荒らすエネミーを倒す
SubObjectives,0,text030,バリーに報告する
SubObjectives,1,Objective311,Talk to Bosy
SubObjectives,1,Objective321,Find the Item Container
SubObjectives,1,Objective331,Equip an Armor
SubObjectives,1,Objective341,Return to Garoa's house
SubObjectives,1,text010,Talk to Barry
SubObjectives,1,text020,Defeat the enemies destroying the fields
SubObjectives,1,text030,Report to Barry
