section,group,id,text
AcceptCondition,0,a1,特定のクライアントオーダーのクリア
AcceptCondition,0,a2,特定のクライアントオーダーのクリア
AcceptCondition,0,a3,スーパーハード受注許可証の所持
AreaName,0,Area0S,デクストベース
AreaName,0,Area0L,デクストベース
AreaName,1,Area0S,Dext Base
AreaName,1,Area0L,Dext Base
Basic,0,Title,デクストベースの戦い
Basic,0,Explanation,<%me>たちは、<br>スティア先遣隊とともに、<br>南の拠点に足を踏み入れる。
Basic,1,Title,The Battle of Dext Base
Basic,1,Explanation,The heroes strike out for the Southern Base together with the Stia Vanguard Unit.
QuestTarget,0,SimpleExplanation,デクストベースの戦い
QuestTarget,1,SimpleExplanation,The Battle of Dext Base
