section,group,id,text
Required,0,Title,テクターの基礎訓練
Required,0,Summary,アークスの教導官ホーニャンから、<br>テクタークラスの戦いかたを教わる。<br><br><yellow>※使用推奨クラススキル：<br>　シフタ・デバンド<c>
Required,1,Title,Formación Básica Techter
Required,1,Summary,渀椀愀渀⸀㰀戀爀㸀㰀戀爀㸀㰀礀攀氀氀漀眀㸀刀攀挀漀洀洀攀渀搀攀搀 挀氀愀猀猀 猀欀椀氀氀㨀 㰀戀爀㸀匀栀椀昀琀愀⼀䐀攀戀愀渀搀㰀挀㸀
SubObjectives,0,text0101,メインクラスをテクターにする
SubObjectives,0,text0102,南エアリオに向かう(テクター限定)
SubObjectives,0,text0103,シフタ・デバンドを使用する
SubObjectives,0,text0104,南エアリオでエネミーを倒す(テクター限定)
SubObjectives,0,Objective333,ホーニャンに報告する
SubObjectives,1,text0101,Haz de Techter tu clase principal
SubObjectives,1,text0102,Dirígete a South Aelio como Techter
SubObjectives,1,text0103,Usar Shifta/Deband
SubObjectives,1,text0104,Derrota enemigos en South Aelio como Techter.
