section,group,id,text
ssn_015620,0,name_7443,マリモ
ssn_015620,0,ssn_015620_0001,調査のときも、戦いのときも、<br>万全の準備をしてください。
ssn_015620,0,ssn_015620_0002,無事に戻ること。<br>それがなにより大切なことです。
ssn_015620,0,ssn_015620_0101,すみません、<br>ちょっといいですかー。
ssn_015620,0,ssn_015620_0102,あなたにまた、調査のお手伝いを、<br>お願いしようと思いまして。
ssn_015620,0,ssn_015620_0103,ただ……ちょっと大変な場所なので、<br>どうしようか悩んでいるんですよねー。
ssn_015620,0,ssn_015620_0104,とりあえず、話だけでも<br>聞いてもらえると、うれしいです。
ssn_015620,0,ssn_015620_0201,調査に行ってもらいたいのは、<br>メディオラ外郭第１区の奥のほうなんです。
ssn_015620,0,ssn_015620_0202,手ごわいエネミーがたくさんいる、<br>大変危険な場所です。
ssn_015620,0,ssn_015620_0203,危険は承知で、<br>行ってきて、もらえないでしょうか？
ssn_015620,0,ssn_015620_0301,そうですか……。<br>では、仕方ないですね。
ssn_015620,0,ssn_015620_0401,この世界には、まだ見たことのない景色が<br>たくさんあるんでしょうね。
ssn_015620,0,ssn_015620_0402,あなたも、新たな景色を見つけたときは、<br>ぜひ、わたしに教えてください。
ssn_015620,0,ssn_015620_0403,楽しみにしていま
ssn_015620,1,name_7443,Marimo
ssn_015620,1,ssn_015620_0001,"Whether it's research or fighting, you always have to be prepared."
ssn_015620,1,ssn_015620_0002,Coming home in one piece. <br>That's what it's all about.
ssn_015620,1,ssn_015620_0101,Excuse me. Do you have a minute?
ssn_015620,1,ssn_015620_0102,Could I ask for your help with my survey again?
ssn_015620,1,ssn_015620_0103,"It's a pretty tough place, and I'm not even sure where to begin."
ssn_015620,1,ssn_015620_0104,"Well, first, let me tell you the details."
ssn_015620,1,ssn_015620_0201,I'd like you to go to Mediola Outer Area 1.
ssn_015620,1,ssn_015620_0202,There are lots of powerful enemies there. It's really dangerous.
ssn_015620,1,ssn_015620_0203,Would you be able to do that for me?
ssn_015620,1,ssn_015620_0301,"I understand... <br>Well, I guess there's not much I can do, then."
ssn_015620,1,ssn_015620_0401,There are so many places in this world that I still haven't seen.
ssn_015620,1,ssn_015620_0402,"If you ever find any new places of note, please do let me know."
ssn_015620,1,ssn_015620_0403,I'm looking forward to hearing all about them.
