section,group,id,text
ssq_012101,0,name_7418,ベルクマン
ssq_012101,0,ssq_012101_0010,おう、着いたみたいだな。
ssq_012101,0,ssq_012101_0020,ああ、その景色だ。<br>変わってないなぁ……。
ssq_012101,0,ssq_012101_0030,ずーっと、戦ってばかりな気がしたが、<br>意外とみんなと遊んでたりもしたな。
ssq_012101,0,ssq_012101_0040,……色々と思いだすな。
ssq_012101,0,ssq_012101_0050,………。
ssq_012101,0,ssq_012101_0060,ありがとうな。<br>このデータも大切にさせてもらうわ。
ssq_012101,1,name_7418,Berkman
ssq_012101,1,ssq_012101_0010,"Hey, you made it."
ssq_012101,1,ssq_012101_0020,"Ahhh, that view. It hasn't changed a bit."
ssq_012101,1,ssq_012101_0030,"I felt like all we ever did was slog from battle to battle, but I really did have a lot of<br>fun times with everyone."
ssq_012101,1,ssq_012101_0040,It's all coming back to me now...
ssq_012101,1,ssq_012101_0050,...
ssq_012101,1,ssq_012101_0060,Thank you. I really appreciate you getting me this data.
