section,group,id,text
trial_enemy_ahl,0,Begin_7761001_b,/ci2 3 おおっ！<br>あなたがいれば百人力です！
trial_enemy_ahl,0,Success_7761001_b,/ci2 1 すばらしいです！<br>僕も見習わないと！
trial_enemy_ahl,0,Failure_7761001_b,/ci1 2 深追いは禁物ですね。<br>次はがんばりましょう！
trial_enemy_ahl,0,Begin_7763001_a,/ci1 2 情けない話ですが、劣勢なんです。<br>力を貸していただけませんか？
trial_enemy_ahl,0,Success_7763001_a,/ci2 5 いい感じに連携できましたね！
trial_enemy_ahl,0,Failure_7763001_a,/ci4 3 ああ、敵が逃げていきます……。
trial_enemy_ahl,0,Begin,/ci2 1 いいところに！<br>手を貸していただけると助かります！
trial_enemy_ahl,0,Success,/ci2 2 なんとかなりました！<br>あなたのおかげですね！
trial_enemy_ahl,0,Failure,/ci4 3 倒しきれませんでしたか……。<br>……僕が不甲斐ないばっかりに。
trial_enemy_ahl,1,Begin_7761001_b,/ci2 3 Oh! <br>You're as good as a hundred lesser fighters!
trial_enemy_ahl,1,Success_7761001_b,/ci2 1 Beautiful! <br>I love watching you in action!
trial_enemy_ahl,1,Failure_7761001_b,/ci1 2 Let's not pursue. <br>We'll get them next time!
trial_enemy_ahl,1,Begin_7763001_a,"/ci1 2 I'm ashamed to admit it, but we're overwhelmed. <br>Could you lend us a hand?"
trial_enemy_ahl,1,Success_7763001_a,/ci2 5 That was some pretty nice teamwork!
trial_enemy_ahl,1,Failure_7763001_a,"/ci4 3 Ah, they're getting away..."
trial_enemy_ahl,1,Begin,/ci2 1 Perfect! <br>We could really use some help!
trial_enemy_ahl,1,Success,/ci2 2 We made it through! <br>Couldn't have done it without you!
trial_enemy_ahl,1,Failure,/ci4 3 We couldn't finish them off...<br>This is all my fault...
