section,group,id,text
TutorialText,0,Title,ラインストライクのゲームルール
TutorialText,0,text0001,<yellow>“ラインストライク”<c>は、<br>ふたりのプレイヤーが、手持ちの“カード”を交互に“場”に出し、<br>縦３マスごとのカードの合計値でバトルする、カードゲームです。<br><br>ゲームの盤面は、縦３マスがワンセットになっています。<br>この縦３マスのことを、“ライン”と呼びます。
TutorialText,0,text0002,ターン終了時に、ライン上の合計戦力値が多い側が攻撃権を得ます。<br><br>各ラインには、<yellow>“拠点”<c>と呼ばれる耐久値ゲージがあり、<br>攻撃側は、そのライン上の<yellow>“味方のカード数”<c>の分、<br>相手の拠点に１点～３点のダメージを与えられます。<br><br>耐久値がゼロになると、その拠点は破壊されます。<br>先に相手の拠点を<yellow>２つ破壊したプレイヤーが、ゲームに勝利<c>します。
TutorialText,0,text0003,ゲームがスタートすると、最初のターンのみ手札として<br>デッキからカードを５枚引きます。この時、気に入らなければ<br>手札を一度だけ引き直すことができます。<br><br>２ターン目以降は、ターン開始時にデッキから１枚引きます。<br>また、拠点が破壊された際も、デッキから１枚引きます。
TutorialText,0,text0004,カードを場に出すことを、<yellow>“召喚”<c>と呼びます。<br><br>召喚には、<yellow>“PP”<c>を消費します。<br>PPがある限り、１ターンに何回でも召喚できます。<br>消費PPはカードごとに異なります。<br><br>PPは、ターンの始めに<yellow>３ポイント<c>追加されます。<br>余ったPPは、次のターンに最大10ポイントまで持ち越しできます。
TutorialText,0,text0005,手札からカードを出す時に、空いているマスに置くのではなく、<br>以前に自分が置いたカードに、上書きするような形で置く方法を<br><yellow>“リライト召喚”<c>と呼びます。<br><br>場のカードと<yellow>同属性<c>、かつ<yellow>消費PPが上回る<c>カードなら、<br>差分のPPのみを消費して、カードを上書きすることができます。<br><br>※場のカードにかかっていた効果は、引き継がれずに消滅します。
TutorialText,0,text0006,カードには、<yellow>“スキル”<c>を持っているものがあります。<br><br>スキルは、<yellow>“支援”“妨害”“パッシブ”<c>の３タイプがあります。<br>味方を強化する“支援”と、相手を弱体化させる“妨害”は、<br>場に出したときに一度だけ、支援→妨害の順で発動します。<br><br>“パッシブ”は、味方の数だけ戦力値が上昇する効果などの<br>常時発動型です。
TutorialText,0,text0007,場のカードが、妨害スキルなどの効果によって<br>戦力値がゼロになると、<yellow>“戦闘不能”<c>状態になります。<br><br>戦闘不能の間は攻撃に参加できず、パッシブスキルも発動しませんが、<br>リライト召喚により、別のカードで上書きすることはできます。<br><br>戦闘不能状態は、戦力値が１以上に戻ると回復し
TutorialText,1,Title,Line Strike Rules
TutorialText,1,text0001,"<yellow>Line Strike<c> is a card game in which players do battle by placing cards onto a Field and comparing the total value of their cards on each vertical line of three squares.<br><br>The game board consists of sets of vertical columns of three squares.<br>These columns are referred to as ""Lines""."
TutorialText,1,text0002,"At the end of the turn, the Player with the highest total Attack on a Line earns the right to attack.<br><br>Each Line has a <yellow>""Base""<c> with HP. The attacker deals 1 - 3 points of damage to the enemy Base equal to the number of <yellow>""Friendly Forces""<c> on that Line.<br><br>Once the HP is reduced to zero, that Base is destroyed.<br><yellow>The first Player to destroy two enemy Bases wins.<c>"
TutorialText,1,text0003,"When the game starts, Players draw five cards from their Decks as their starting hand. Players may redraw their starting hand once if they wish.<br><br>Starting from the second turn, Players draw 1 card from their Decks. In addition, when a Base is destroyed, draw 1 card."
TutorialText,1,text0004,"Placing a card onto the Field is referred to as <yellow>""Summoning""<c>.<br><br>Summoning consumes <yellow>PP<c>.<br>Players may summon any number of times in a turn, provided they have the PP.<br>Card PP Costs vary.<br><br>At the start of each turn, Players receive <yellow>3 PP<c>.<br>Up to 10 unspent PP may be carried over into the next turn."
TutorialText,1,text0005,"When placing cards onto the Field, instead of placing them on open squares, Players may also place them on top of other cards they have already placed themselves. This is known as <yellow>""Overwrite Summoning""<c>.<br><br>As long as the new card is of the same <yellow>Element<c> and also of <yellow>greater PP Cost<c> than the card on the Field, you may overwrite it by spending the difference in PP Costs only.<br><br>Note: Any active effects on the Field card do not carry over to the new card."
TutorialText,1,text0006,"Some cards have <yellow>Skills<c>.<br><br>There are three types of Skills: <yellow>Support, Disrupt, and Passive<c>. Support cards strengthen your allies, and Disrupt cards weaken your opponents. When these cards are placed onto the Field, they activate only once, with Support cards activating first and then Disrupt cards.<br><br>Passive Skills are always active, and have effects such as increasing attack power by the number of allies. "
TutorialText,1,text0007,"If a card's Attack is reduced to zero while placed on the Field, due to a Disrupt Skill or otherwise, it becomes <yellow>""Incapacitated""<c>.<br><br>While Incapacitated, the card may not participate in attacks, and its Passive Skills are inactive. However, it can still be used to Overwrite Summon another card onto it.<br><br>If a card's Attack increases to one or greater while it is Incapacitated, it is restored."
