section,group,id,text
Guide_Button,0,Button_Move_Pad,<pict Alpha_ls>
Guide_Button,0,Button_Move_Keyboard,<%MoveForward><pict 4space><%MoveLeft><pict 4space><%MoveBack><pict 4space><%MoveRight>
Guide_Button,0,Button_Jump,<%Jump>
Guide_Button,0,Button_Dush,<%Avoid><pict 4space>長押し
Guide_Button,0,Button_DushJump,ダッシュ中に<pict 4space><%Jump>
Guide_Button,0,Button_Attack,<%NormalAttack>
Guide_Button,0,Button_Avoid,<%Avoid>
Guide_Button,0,Button_LockOn,<%LockOn>
Guide_Button,0,Button_PhotonArts,<%PhotonArts>
Guide_Button,0,Button_SubPallet_Select,<%SubPaletteLeft><pict 4space><%SubPaletteRight>
Guide_Button,0,Button_SubPallet_Action,<%SubPalette>
Guide_Button,0,Button_Glide_01,ジャンプ中に<pict 4space><%Jump>
Guide_Button,0,Button_Glide_02,または<pict 4space><%Jump><pict 4space>長押し
Guide_Button,1,Button_Move_Pad,<pict Alpha_ls>
Guide_Button,1,Button_Move_Keyboard,<%MoveForward><pict 4space><%MoveLeft><pict 4space><%MoveBack><pict 4space><%MoveRight>
Guide_Button,1,Button_Jump,<%Jump>
Guide_Button,1,Button_Dush,Press and hold <%Avoid>
Guide_Button,1,Button_DushJump,<%Jump> while dashing
Guide_Button,1,Button_Attack,<%NormalAttack>
Guide_Button,1,Button_Avoid,<%Avoid>
Guide_Button,1,Button_LockOn,<%LockOn>
Guide_Button,1,Button_PhotonArts,<%PhotonArts>
Guide_Button,1,Button_SubPallet_Select,<%SubPaletteLeft><pict 4space><%SubPaletteRight>
Guide_Button,1,Button_SubPallet_Action,<%SubPalette>
Guide_Button,1,Button_Glide_01,<%Jump><pict 4space>while jumping
Guide_Button,1,Button_Glide_02,Or press and hold <%Jump>
Guide_Label,0,Label_Move,移動
Guide_Label,0,Label_Jump,ジャンプ
Guide_Label,0,Label_Dush,フォトンダッシュ
Guide_Label,0,Label_DushJump,フォトンダッシュジャンプ
Guide_Label,0,Label_Attack,通常攻撃
Guide_Label,0,Label_Avoid,回避
Guide_Label,0,Label_LockOn,ロックオン
Guide_Label,0,Label_PhotonArts,フォトンアーツ
Guide_Label,0,Label_SubPallet_Select,サブパレット選択
Guide_Label,0,Label_SubPallet_Action,サブパレット実行
Guide_Label,0,Label_Glide,フォトングライド
Guide_Label,1,Label_Move,Move
Guide_Label,1,Label_Jump,Jump
Guide_Label,1,Label_Dush,Photon Dash
Guide_Label,1,Label_DushJump,Photon Dash Jump
Guide_Label,1,Label_Attack,Normal Attack
Guide_Label,1,Label_Avoid,Dodge
Guide_Label,1,Label_LockOn,Lock-on
Guide_Label,1,Label_PhotonArts,Photon Arts
Guide_Label,1,Label_SubPallet_Select,Select Sub-Palette
Guide_Label,1,Label_SubPallet_Action,Apply Sub-Palette
Guide_Label,1,Label_Glide,Photon Glide
