section,group,id,text
Required,0,Title,アークスとしての第一歩・Ⅱ
Required,0,Summary,セントラルシティの住人<br>ベルクマンから依頼を受ける。
Required,1,Title,The ARKS Journey Begins II
Required,1,Summary,Accept an assignment from Central City<br>resident Berkman.
SubObjectives,0,Objective311,ベルクマンのサイドタスクを受注する
SubObjectives,0,Objective312,ベルクマンのサイドタスクを達成する
SubObjectives,0,Objective321,グイーデンに報告する
SubObjectives,1,Objective311,Accept Berkman's Side Task
SubObjectives,1,Objective312,Complete Berkman's Side Task
SubObjectives,1,Objective321,Report in to Guiden
