section,group,id,text
CharaName,0,name01,コオリ
CharaName,0,name02,エンガ
CharaName,0,name03,ヒツギ
CharaName,1,name01,Kohri
CharaName,1,name02,Enga
CharaName,1,name03,Hitsugi
Skit00,0,skit01,アラトロンさんたちに<br>負けていられません！<br>わたしたちも、頑張りましょう！
Skit00,0,skit02,ずいぶんなやる気じゃねえか。<br>……ま、オレも同意見だ。
Skit00,0,skit03,行こう！<br><%me>！
Skit00,1,skit01,"We can't let Aratron's group beat us!<br>Let's give it all we've got, everyone!"
Skit00,1,skit02,"Wow, someone sure is motivated.<br>Then again, who am I to talk?"
Skit00,1,skit03,"Let's move, <%me>!"
Skit_ci00,0,skit01,/ci2 2 アラトロンさんたちに<br>負けていられません！<br>わたしたちも、頑張りましょう！
Skit_ci00,0,skit02,/ci2 2 ずいぶんなやる気じゃねえか。<br>……ま、オレも同意見だ。
Skit_ci00,0,skit03,/ci2 2 行こう！<br><%me>！
Skit_ci00,1,skit01,"/ci2 2 We can't let Aratron's group beat us!<br>Let's give it all we've got, everyone!"
Skit_ci00,1,skit02,"/ci2 2 Wow, someone sure is motivated.<br>Then again, who am I to talk?"
Skit_ci00,1,skit03,"/ci2 2 Let's move, <%me>!"
