section,group,id,text
Skit00,0,skit01,あの敵、妙な動きをしているな……<br>警戒を怠るなよ。
Skit00,1,skit01,That one's moving strangely. Don't let down your guard.
CharaName,0,name01,アイカ
CharaName,1,name01,Aika
Event1,0,name01,シエラ
Event1,0,text01,周囲の閃機種が強化されています。<br>支援型の閃機種のようです！
Event1,1,name01,Xiera
Event1,1,text01,The luminmechs in this area have been enhanced. They appear to be support units!
Skit_ci00,0,skit01,/ci1 2 あの敵、妙な動きをしているな……<br>警戒を怠るなよ。
Skit_ci00,1,skit01,/ci1 That one's moving strangely. <br>Don't let down your guard.
