section,group,id,text
CharaName,0,name01,フーリエ
CharaName,1,name01,Fourie
Skit_ci,0,skit01,/ci4 3 うう、守りきれませんでした……<br>……あの子達に申し訳ないです。
Skit_ci,0,skit02,/ci1 5 ……この先にある集落も<br>近辺の状況もまだまだ気になります。<br>先に進みましょう。
Skit_ci,1,skit01,/ci4 3 No... We couldn't protect them... <br>I feel so terrible for my little friends.
Skit_ci,1,skit02,/ci1 5 ...I'm still worried about the settlements<br>ahead and the surrounding areas<br>though. Let's keep going.
Skit,0,skit01,うう、守りきれませんでした……<br>……あの子達に申し訳ないです。
Skit,0,skit02,……この先にある集落も<br>近辺の状況もまだまだ気になります。<br>先に進みましょう。
Skit,1,skit01,No... We couldn't protect them... I feel<br>so terrible for my little friends.
Skit,1,skit02,...I'm still worried about the settlements<br>ahead and the surrounding areas<br>though. Let's keep going.
