section,group,id,text
CharaName,0,name01,シエラ
CharaName,0,name02,シエラ
CharaName,1,name01,Xiera
CharaName,1,name02,Xiera
Skit00,0,linewindow,魔神結界を破壊！
Skit00,0,11_voice_navi09f_war_068,魔神結界の破壊を確認！<br>あとは魔神城を破壊するだけ……！<br>油断せずにいきましょう！！
Skit00,0,text00,魔神城戦について
Skit00,0,text01,魔神結界を全て破壊すると<br>腹部のコアを破壊するアタックフェイズが<br>開始されます。<br><br>この時、一定時間ごとに<yellow>魔神城が<br>破界塔に対して強力なレーザー<c>を放ちます。<br>素早く魔神城を破壊しましょう。<br>
Skit00,0,11_voice_navi09_war_013,魔神城へ向かい、<br>腹部のコアを破壊しましょう！
Skit00,1,linewindow,Arx Demonica destroyed!
Skit00,1,11_voice_navi09f_war_068,Destruction of the Arx Demonicas confirmed!<br>All that's left now is to destroy the Castrum<br>Demonica! Don't let your guard down now!
Skit00,1,text00,Castrum Demonica Battles
Skit00,1,text01,"When all Arx Demonicas have been destroyed, an Attack Phase during which<br>you can destroy the Castrum Demonica's abdominal core will commence.<yellow><br>The Castrum Demonica periodically fires powerful lasers at the Buster Towers.<c><br>Destroy the Castrum Demonica quickly."
Skit00,1,11_voice_navi09_war_013,Time to attack the Castrum Demonica!<br>Destroy its abdominal core!
