section,group,id,text
CharaName,0,name01,カトリ
CharaName,1,name01,Katori
Success,0,text00,出来ましたのね！<br>依頼通りの品ですわ。<br>ありがとうございます。
Success,0,text01,お待ちしていました。<br>ありがとうございます。
Success,0,text02,確かに受け取りましたわ。<br>ありがとうございます！
Success,1,text00,"You did it!<br>And exactly to spec, too.<br>Thank you so much."
Success,1,text01,I've been waiting for you.<br>Thanks a lot.
Success,1,text02,Duly received.<br>Thank you very much!
GreatSuccess,0,text00,お見事ですね！<br>すばらしいお手前です！<br>ありがとうございました！
GreatSuccess,0,text01,お待ちしていましたわ！<br>私の依頼以上の品ですね！<br>感謝いたしますわ。
GreatSuccess,0,text02,待ち遠しかったですわ。<br>すばらしいお手前ですね！<br>またぜひ、お願いします。
GreatSuccess,1,text00,Excellently done.<br>This is some amazing work!<br>Thank you very much.
GreatSuccess,1,text01,I've been waiting for you!<br>This is even better than I requested!<br>Thank you so much.
GreatSuccess,1,text02,I've been looking forward to your return.<br>Amazing work!<br>Look forward to working together again!
