section,group,id,text
common,0,IncidentName,地球を守れ！
common,0,TrialBeginMsg,制限時間内に$(0)を撃退し、地球を守れ！
common,0,TrialAbstract,地球を守れ！
common,0,LineMsg_Time_60,地球破壊まで　あと僅か！
common,0,LineMsg_Time_120,地球破壊まで　２分
common,0,LineMsg_Time_180,地球破壊まで　３分
common,0,LineMsg_Time_240,地球破壊まで　４分
common,1,IncidentName,Defend Earth!
common,1,TrialBeginMsg,Fight off $(0) to save the Earth before time expires!
common,1,TrialAbstract,Defend Earth!
common,1,LineMsg_Time_60,Earth is about to be destroyed!
common,1,LineMsg_Time_120,2 minutes to Earth's destruction.
common,1,LineMsg_Time_180,3 minutes to Earth's destruction.
common,1,LineMsg_Time_240,4 minutes to Earth's destruction.
type9,0,NpcComOnSuccess,目標の消滅を確認！<br>お見事です！<br>本当に……よかった……
type9,0,HP_Under_20,目標の反応、減衰！<br>あともう一息です、頑張
type9,1,NpcComOnSuccess,Target destroyed! Excellent work!<br>That was too intense for me...
type9,1,HP_Under_20,"The target is fading...<br>Almost there, just keep attacking!"
