section,group,id,text
common,0,IncidentName,侵食戦闘機の制御機構を破壊
common,0,TrialBeginMsg,ダーカーに侵食された戦闘機の<br>制御機構を見つけだし、破壊せよ！
common,0,TrialAbstract,ダーカーに侵食された戦闘機の<br>制御機構を見つけだし、破壊せよ！
common,1,IncidentName,Destroy the Corrupted Aircraft Controller
common,1,TrialBeginMsg,Seek and destroy the device controlling the<br>Falspawn Corrupted Aircraft!
common,1,TrialAbstract,Seek and destroy the device controlling the<br>Falspawn Corrupted Aircraft!
type2,0,NpcComOnBegin,これは……ダーカーの反応！？<br>奴らめ、アークスの戦闘機を<br>乗っ取ったというのか！
type2,0,NpcComOnBeginAtRareCase,異常なダーカー反応を検知。<br>ほかの戦域に転移しようとしている！<br>決して逃がすな！
type2,0,NpcComOnSuccess,制御機構の破壊を確認。<br>侵食戦闘機の反応も消失した。<br>状況終了だ。
type2,0,NpcComOnFailure,/face6 侵食戦闘機の転移を確認。<br>追跡は不可能だろう。<br>本来の任務を継続しろ。
type2,0,AppearHeli,アークスの戦闘機だと？<br>……様子がおかしい、気をつけろ。
type2,0,BreakHeli,撃墜したようだが……。<br>気を抜くな、終わりじゃないぞ。
type2,0,RespawnHeli,やはり、何機でも現れるか……
type2,0,UrgesFindCore,そいつを攻撃しても無駄だ。<br>どこかに制御機構がある。<br>見つけ出して破壊しろ。
type2,0,UrgesArrivalCore1st,制御機構の位置を特定した。<br>$(0)へ急行し、破壊しろ。
type2,0,UrgesArrivalCore,制御機構の位置は$(0)だ。<br>急行し、破壊しろ。
type2,0,FindCore,そいつが制御機構だ。<br>迅速に破壊しろ。
type2,0,DamagedCore,よし、そのまま攻撃を加え、<br>一気に破壊しろ。
type2,0,TimeupWarning,目標の転移までの時間が迫っている。<br>そいつを逃がすと被害が広がる！<br>可及的速やかに破壊しろ！
type2,0,TimeupEmergency,目標の転移まで時間がない。<br>急ぎ制御機構を破壊しろ！
type2,1,NpcComOnBegin,What the...Falspawn readings!?<br>They've taken over an ARKS aircraft!
type2,1,NpcComOnBeginAtRareCase,Abnormal Falspawn reading detected.<br>It's trying to leave the battleground!<br>Don't let it get away!
type2,1,NpcComOnSuccess,"Controller destroyed, and I'm not reading<br>any more corrupted aircraft.<br>Situation under control."
type2,1,NpcComOnFailure,/face6 Readings indicate the Corrupted Aircraft has<br>left  and cannot be pursued.<br>Resume regular duties.
type2,1,AppearHeli,An ARKS aircraft? Something feels off...<br>Be careful.
type2,1,BreakHeli,Looks like you shot it down... But this <br>isn't over yet. Keep your guard up.
type2,1,RespawnHeli,"I knew it, how many more are there?"
type2,1,UrgesFindCore,"No point attacking it. There's a Controller<br>somewhere, find that and destroy it."
type2,1,UrgesArrivalCore1st,Controller location confirmed. Hurry to<br>$(0) and take it out.
type2,1,UrgesArrivalCore,The Controller can be found at<br>$(0). Get moving!
type2,1,FindCore,"That's the Controller! Quickly, destroy it!"
type2,1,DamagedCore,"Nice, keep it up. Shut that thing down."
type2,1,TimeupWarning,"The target is leaving. It'll cause more damage if<br>it gets away, so destroy that Controller ASAP!"
type2,1,TimeupEmergency,There's no time left! The target is moments<br>away from departure. Destroy the Controller!
