section,group,id,text
common,0,IncidentName,幻創の未確認生物を撃退せよ！
common,0,TrialBeginMsg,制限時間内に全ての未確認生物を撃退せよ！
common,0,TrialAbstract,制限時間内に未確認生物を撃退せよ！
common,1,IncidentName,Fight off the unidentified phantasma creatures!
common,1,TrialBeginMsg,Destroy all unidentified creatures before time expires!
common,1,TrialAbstract,Destroy the unidentified creatures before time expires!
type1,0,NpcComOnBegin,NPC通信（開始時）<br>の<br>テキストです
type1,0,NpcComOnSuccess,NPCセリフ（成功時）<br>の<br>テキストです
type1,0,NpcComOnFailure,NPC通信（失敗時）<br>の<br>テキストです
type1,0,NpcComOnHalf,目標残り半分以下<br>の<br>テキストです
type1,0,NpcComOnLastOne,目標残り1匹<br>の<br>テキストです
type1,1,NpcComOnBegin,NPC communication text (start)
type1,1,NpcComOnSuccess,NPC dialog text (success)
type1,1,NpcComOnFailure,NPC communication text (failure)
type1,1,NpcComOnHalf,Objective text for halfway point
type1,1,NpcComOnLastOne,Objective text for one enemy remaining
type2,0,NpcComOnBegin,NPC通信（開始時）<br>の<br>テキストです
type2,0,NpcComOnSuccess,NPCセリフ（成功時）<br>の<br>テキストです
type2,0,NpcComOnFailure,NPC通信（失敗時）<br>の<br>テキストです
type2,0,NpcComOnHalf,目標残り半分以下<br>の<br>テキストです
type2,0,NpcComOnLastOne,目標残り1匹<br>の<br>テキストです
type2,1,NpcComOnBegin,NPC communication text (start)
type2,1,NpcComOnSuccess,NPC dialog text (success)
type2,1,NpcComOnFailure,NPC communication text (failure)
type2,1,NpcComOnHalf,Objective text for halfway point
type2,1,NpcComOnLastOne,Objective text for one enemy remaining
type3,0,NpcComOnBegin,NPC通信（開始時）<br>の<br>テキストです
type3,0,NpcComOnSuccess,NPCセリフ（成功時）<br>の<br>テキストです
type3,0,NpcComOnFailure,NPC通信（失敗時）<br>の<br>テキストです
type3,0,NpcComOnHalf,目標残り半分以下<br>の<br>テキストです
type3,0,NpcComOnLastOne,目標残り1匹<br>の<br>テキストです
type3,1,NpcComOnBegin,NPC communication text (start)
type3,1,NpcComOnSuccess,NPC dialog text (success)
type3,1,NpcComOnFailure,NPC communication text (failure)
type3,1,NpcComOnHalf,Objective text for halfway point
type3,1,NpcComOnLastOne,Objective text for one enemy remaining
type6,0,NpcComOnBegin,NPC通信（開始時）<br>の<br>テキストです
type6,0,NpcComOnSuccess,NPCセリフ（成功時）<br>の<br>テキストです
type6,0,NpcComOnFailure,NPC通信（失敗時）<br>の<br>テキストです
type6,0,NpcComOnHalf,目標残り半分以下<br>の<br>テキストです
type6,0,NpcComOnLastOne,目標残り1匹<br>の<br>テキストです
type6,1,NpcComOnBegin,NPC communication text (start)
type6,1,NpcComOnSuccess,NPC dialog text (success)
type6,1,NpcComOnFailure,NPC communication text (failure)
type6,1,NpcComOnHalf,Objective text for halfway point
type6,1,NpcComOnLastOne,Objective text for one enemy remaining
type9,0,NpcComOnBegin,地球上のデータでも未確認の<br>謎の生物が空中を飛び回っています！<br>混乱を避けるため、この場で撃退を！
type9,0,NpcComOnBeginNext,あの生物、移動中はエーテルを変質させ<br>こちらの攻撃を無効化しています！<br>動きを止めている間に攻撃を！
type9,0,NpcComOnSuccess,謎の生物、反応消失！　エーテル拡散！<br>みなさん、お疲れさまでした！<br>……あれ、何の生物だったんでしょう？
type9,0,NpcComOnFailure,逃げられてしまいましたね……<br>これ以上の追跡は難しいですので<br>通常任務に戻りましょう。
type9,0,NpcComOnHalf,目標、残り半数です！<br>残さず撃退しちゃいましょう！
type9,0,NpcComOnLastOne,目標、残りあとひとつ！<br>……って、なんだか動きに変化が。<br>注意してください！
type9,1,NpcComOnBegin,We've got unidentified creatures in the air<br>that have never been recorded in Earth data!<br>Take them out here and now before it gets<br>out of hand!
type9,1,NpcComOnBeginNext,"Those creatures change to aethers while<br>moving, rendering our attacks useless!<br>Hit them while they're still!"
type9,1,NpcComOnSuccess,"The strange creatures are gone, and the<br>aethers diffused! Well done, everyone!<br>...What species were they?"
type9,1,NpcComOnFailure,"They managed to get away...<br>It's too difficult to pursue them further, so<br>get back to normal duties."
type9,1,NpcComOnHalf,You've defeated half of them!<br>Destroy every last one!
type9,1,NpcComOnLastOne,Just one left!<br>But it's showing strange behavior...<br>Be careful!
