section,group,id,text
common,0,IncidentName,missile_intercept（仮）
common,0,TrialBeginMsg,missile_intercept（仮）
common,0,TrialAbstract,missile_intercept（仮）
type1,0,NpcComOnBegin,/face1 開始時セリフ
type1,0,NpcComOnSuccess,/face2 成功時セリフ
type1,0,NpcComOnFailure,/face4 失敗時セリフ
type1,1,NpcComOnBegin,/face1 NPCComOnBegin
type1,1,NpcComOnSuccess,/face2 NPCComOnSuccess
type1,1,NpcComOnFailure,/face4 NPCComOnFailure
type2,0,NpcComOnBegin,/face1 開始時セリフ
type2,0,NpcComOnSuccess,/face2 成功時セリフ
type2,0,NpcComOnFailure,/face4 失敗時セリフ
type2,1,NpcComOnBegin,/face1 NPCComOnBegin
type2,1,NpcComOnSuccess,/face2 NPCComOnSuccess
type2,1,NpcComOnFailure,/face4 NPCComOnFailure
type3,0,NpcComOnBegin,/face1 開始時セリフ
type3,0,NpcComOnSuccess,/face2 成功時セリフ
type3,0,NpcComOnFailure,/face4 失敗時セリフ
type3,1,NpcComOnBegin,/face1 NPCComOnBegin
type3,1,NpcComOnSuccess,/face2 NPCComOnSuccess
type3,1,NpcComOnFailure,/face4 NPCComOnFailure
