section,group,id,text
common,0,Begin,開始5150
common,0,Success,成功5150
common,0,Failure,失敗5150
common,0,Dead,自分死亡5150
common,0,BuddyDead,相手死亡5150
common,0,Evolution,発展5150
common,1,Begin,Begin5150
common,1,Success,Success5150
common,1,Failure,Failure5150
common,1,Dead,YouDied5150
common,1,BuddyDead,PartnerDied5150
common,1,Evolution,Evolution5150
5590,0,Begin,/ci1 3 /mn2 リーダー、お願いです！<br>討伐、手伝ってもらえませんか？<br>わたし達だけじゃ厳しくて……
5590,0,Success,/ci1 2 /mn15 これで終わりですね！<br>リーダーが助けてくれたおかげです。<br>本当にありがとうございました！
5590,0,Failure,はぁ……はぁ……こんなところで……<br>す、すみません……リーダー……
5590,0,Dead,はぁ……はぁ……す、すみません……<br>足を引っ張っちゃいました……
5590,0,BuddyDead,アネットさん、大丈夫です！？<br>あとは、わたしとリーダーで<br>なんとかします！
5590,1,Begin,"/ci1 3 /mn2 Leader! A moment, if you please!<br>Will you help us suppress the enemy?<br>We're having a tough time of it..."
5590,1,Success,"/ci1 2 /mn15 And that's the end of that!<br>We couldn't have done it without you, Leader.<br>Thank you so much!"
5590,1,Failure,Hahh... ngh... n-not like this...<br>I-I'm sorry...Leader...
5590,1,Dead,Ughh... ngh... I-I'm sorry...<br>I couldn't be of more help...
5590,1,BuddyDead,"Annette, are you alright?!<br>Don't worry, the Leader and I<br>will take care of the rest!"
